pegawaidiklat_id;pegawai_nama;diklat_nama;diklat_jp;pegawai_diklat_tahun;jenis_diklat
4125;Pegawai 1469;Sistem Akuntansi Pemerintah Daerah;11;23/05/2021;Teknis
4126;Pegawai 1055;Audit Forensik;16;15/04/2021;Teknis
4127;Pegawai 1875;Pengelolaan Jaringan;12;13/06/2021;Teknis
4128;Pegawai 1331;Sertifikasi konselor;12;15/09/2022;Teknis
4129;Pegawai 1703;PPSPM Negara Tersertifikasi;11;19/07/2022;Teknis
4130;Pegawai 529;Microsoft Excel;16;19/06/2021;Teknis
4131;Pegawai 711;TABK-Arbutus;11;21/08/2021;Teknis
4132;Pegawai 1352;Perencanaan Strategis;13;08/03/2022;Teknis
4133;Pegawai 20;Penilaian angka kredit JFP;11;23/04/2022;Teknis
4134;Pegawai 1720;Public Speaking;10;21/11/2021;Teknis
4135;Pegawai 667;DIKLAT PEMERIKSADiklat Peran Anggota Tim Senior (ATS);18;30/06/2022;Fungsional
4136;Pegawai 260;Media Handling;12;05/03/2021;Teknis
4137;Pegawai 1341;Pemeriksaan Infrastruktur ;15;03/08/2021;Teknis
4138;Pegawai 839;Reviu pengadaan barang dan jasa;20;23/12/2022;Teknis
4139;Pegawai 1827;Alih Media Digital;16;21/12/2021;Teknis
4140;Pegawai 1721;Diklat Peran Ketua Tim Senior (KTS);18;25/07/2022;Fungsional
4141;Pegawai 969;Analis Kepegawaian;13;20/10/2022;Teknis
4142;Pegawai 962;Penyusunan dan Analisis Kontrak;8;26/01/2021;Teknis
4143;Pegawai 1547;Manajemen Kompetensi;20;22/11/2022;Teknis
4144;Pegawai 509;Psikologi Pemeriksaan;21;09/11/2022;Teknis
4145;Pegawai 398;Penyusunan Naskah Pidato;17;27/02/2022;Teknis
4146;Pegawai 1081;Standar Kompetensi dan Evaluasi Jabatan;21;11/04/2022;Teknis
4147;Pegawai 848;Media Handling;12;05/03/2021;Teknis
4148;Pegawai 1722;Diklat Pembentukan Jabatan Fungsional Pemeriksa (JFP);12;03/04/2022;Fungsional
4149;Pegawai 1057;Teknik Interviu dan FGD;16;03/10/2021;Teknis
4150;Pegawai 1041;Konseling;9;16/05/2021;Teknis
4151;Pegawai 153;Penataran P4;13;22/09/2021;P4
4152;Pegawai 241;Kerugian Negara;12;29/10/2022;Teknis
4153;Pegawai 90;Pemeriksaan Pendapatan ;16;02/03/2022;Teknis
4154;Pegawai 1701;Sertifikasi Asesor;18;07/04/2022;Teknis
4155;Pegawai 1087;TABK-Arbutus;11;21/08/2021;Teknis
4156;Pegawai 141;TABK-KPPN;14;26/07/2022;Teknis
4157;Pegawai 1364;Manajemen Perkantoran;22;24/06/2021;Teknis
4158;Pegawai 500;DIKLAT PEMERIKSADiklat Peran Anggota Tim Senior (ATS);18;30/06/2022;Fungsional
4159;Pegawai 267;Penganggaran Berbasis Kinerja;13;05/06/2021;Teknis
4160;Pegawai 467;Hukum Acara Pidana, Perdata dan TUN serta Penafsiran Hukum;16;10/05/2021;Teknis
4161;Pegawai 424;Penyusunan dan analisa kontrak di lingkungan Pemerintahan;18;17/11/2022;Teknis
4162;Pegawai 1728;Analis Kepegawaian;13;20/10/2022;Teknis
4163;Pegawai 487;Penyusunan Naskah Pidato;17;27/02/2022;Teknis
4164;Pegawai 1319;Pemeriksaan PBJ;21;12/01/2022;Teknis
4165;Pegawai 590;Risk Based Audit ;19;10/01/2022;Teknis
4166;Pegawai 1357;Coaching ;15;18/12/2021;Teknis
4167;Pegawai 36;Risk Based Audit ;19;10/01/2022;Teknis
4168;Pegawai 285;Aplikasi Perkantoran di BPK;18;30/08/2021;Teknis
4169;Pegawai 833;Penganggaran Berbasis Kinerja;13;05/06/2021;Teknis
4170;Pegawai 1678;Budaya Organisasi;19;23/09/2021;Teknis
4171;Pegawai 1264;Aspek Hukum dan Tindak Pidana Korupsi;12;19/03/2021;Teknis
4172;Pegawai 852;Analis KepegawaianAnggota Tim;21;17/06/2021;Fungsional
4173;Pegawai 1481;Penilaian Sistem Pengendalian Intern;21;18/03/2022;Teknis
4174;Pegawai 778;Pemeriksaan pajak BUMN jasa karya;19;17/08/2021;Teknis
4175;Pegawai 1925;Diklat Kepemimpinan - II;8;18/01/2021;Kepemimpinan
4176;Pegawai 394;Pemberian keterangan ahli;21;10/05/2022;Teknis
4177;Pegawai 1356;Lain-lain;19;26/06/2022;Teknis
4178;Pegawai 1790;Pemeriksaan Badan Layanan Umum (BLU);9;24/05/2022;Teknis
4179;Pegawai 1179;Pengelolaan Informasi Publik;9;01/11/2022;Teknis
4180;Pegawai 1045;Diklat Prajabatan - Gol. II;10;04/02/2021;Pra-Jabatan
4181;Pegawai 900;Oracle Database;12;27/06/2022;Teknis
4182;Pegawai 1451;Workshop persiapan pemeriksaan LK Kemenkumham, Polri dan Kejaksaan;8;19/01/2022;Teknis
4183;Pegawai 808;Manajemen TI;20;17/09/2022;Teknis
4184;Pegawai 493;Pemasaran Sektor Publik;9;14/12/2021;Teknis
4185;Pegawai 1629;Kearsipan dan Kesekretariatan;17;26/04/2021;Teknis
4186;Pegawai 1400;Digital Forensic;15;21/01/2021;Teknis
4187;Pegawai 706;Sertifikasi konselor;12;15/09/2022;Teknis
4188;Pegawai 408;Pemeriksaan Kinerja KT;20;14/09/2021;Teknis
4189;Pegawai 1532;Auditor Ahli Non Akuntansi;19;02/05/2022;Fungsional
4190;Pegawai 37;Risk Based Audit dan SIAP LKPD;17;14/06/2022;Teknis
4191;Pegawai 1256;Penyusunan Naskah Pidato;17;27/02/2022;Teknis
4192;Pegawai 1;Penulisan Populer dan Infografis;8;24/05/2022;Teknis
4193;Pegawai 1603;Etika Profesi Bidang Telematika;22;24/10/2022;Teknis
4194;Pegawai 1670;Prosedur Analitis;20;11/10/2021;Teknis
4195;Pegawai 1995;Pemeriksaan Badan Layanan Umum (BLU);9;24/05/2022;Teknis
4196;Pegawai 227;NLP;21;28/09/2022;Teknis
4197;Pegawai 870;Kearsipan Tingkat Lanjut;18;27/10/2021;Teknis
4198;Pegawai 465;Diklat Pembentukan Jabatan Fungsional Pemeriksa (JFP);12;03/04/2022;Fungsional
4199;Pegawai 1622;Manajemen TI;20;17/09/2022;Teknis
4200;Pegawai 1228;Auditor Ahli Akuntansi;22;01/08/2021;Fungsional
4201;Pegawai 1153;Risk Based Audit dan SIAP LKPD;17;14/06/2022;Teknis
4202;Pegawai 1759;Manajemen TI;20;17/09/2022;Teknis
4203;Pegawai 175;Pemberian Pendapat Hukum dan Konsultasi Hukum;11;09/11/2022;Teknis
4204;Pegawai 1150;Dasar-dasar Manajemen &amp;11;19/08/2022;Teknis
4205;Pegawai 102;Perencanaan Pengadaan;20;13/12/2021;Teknis
4206;Pegawai 775;Peningkatan Kapasitas Pengelola Museum BPK RI;17;17/05/2022;Teknis
4207;Pegawai 1531;Self Motivation Skill;22;25/11/2021;Teknis
4208;Pegawai 1361;Pemeriksaan Badan Layanan Umum (BLU);9;24/05/2022;Teknis
4209;Pegawai 186;Pemeriksaan PBJ;21;12/01/2022;Teknis
4210;Pegawai 1237;Kepaniteraan Kerugian Negara;19;15/05/2022;Teknis
4211;Pegawai 646;Diklat Prajabatan - Gol. II;10;04/02/2021;Pra-Jabatan
4212;Pegawai 1958;Audit Forensik;16;15/04/2021;Teknis
4213;Pegawai 933;Pengelolaan Informasi Publik;9;01/11/2022;Teknis
4214;Pegawai 490;Penilaian Risiko Kecurangan dalam Pemeriksaan LKPD;9;16/06/2022;Teknis
4215;Pegawai 1250;Penanganan massa;20;02/07/2021;Teknis
4216;Pegawai 1803;Diklat Peran Pengendali Teknis (PT);13;29/12/2022;Fungsional
4217;Pegawai 1273;Managing Difficult and Conflict People;14;01/02/2021;Teknis
4218;Pegawai 1582;Diklat Prajabatan - Gol. I;22;04/09/2021;Pra-Jabatan
4219;Pegawai 1160;Penulisan Pendapat Hukum;13;13/04/2022;Teknis
4220;Pegawai 820;e-procurement;13;24/05/2022;Teknis
4221;Pegawai 930;Workshop persiapan pemeriksaan tematik atas Kinerja APIP;12;01/03/2022;Teknis
4222;Pegawai 418;Pemeriksaan Pendapatan Pajak Minerba;13;22/01/2022;Teknis
4223;Pegawai 923;Media Handling;12;05/03/2021;Teknis
4224;Pegawai 99;Pemeriksaan dana bergulir;17;23/06/2022;Teknis
4225;Pegawai 1915;Audit Forensik;16;15/04/2021;Teknis
4226;Pegawai 1045;Pemeriksaan Pendapatan ;16;02/03/2022;Teknis
4227;Pegawai 1872;TABK LKKL;18;04/05/2022;Teknis
4228;Pegawai 496;Investasi dan Pasar Modal;20;11/05/2021;Teknis
4229;Pegawai 964;Penganggaran Berbasis Kinerja;13;05/06/2021;Teknis
4230;Pegawai 190;Auditor Ahli Non Akuntansi;19;02/05/2022;Fungsional
4231;Pegawai 192;Diklat Kepemimpinan - IV;8;01/11/2022;Kepemimpinan
4232;Pegawai 622;Pemeriksaan Pendapatan Pajak Minerba;13;22/01/2022;Teknis
4233;Pegawai 1602;Etika Profesi Bidang Telematika;22;24/10/2022;Teknis
4234;Pegawai 6;Auditor Terampil Akuntansi;19;14/11/2022;Fungsional
4235;Pegawai 214;Manajemen Perkantoran;22;24/06/2021;Teknis
4236;Pegawai 1137;Sistem Kendali Kecurangan;12;23/02/2021;Teknis
4237;Pegawai 1779;Pemeriksaan aset kawasan industri;9;18/06/2021;Teknis
4238;Pegawai 770;Berpikir Kritis dan Inovatif;10;26/03/2021;Teknis
4239;Pegawai 528;Kearsipan Tingkat Lanjut;18;27/10/2021;Teknis
4240;Pegawai 148;Perpajakan bagi bendahara;11;24/02/2022;Teknis
4241;Pegawai 1999;Diklat Pembentukan Jabatan Fungsional Pemeriksa (JFP);12;03/04/2022;Fungsional
4242;Pegawai 1112;Change Management;10;27/10/2022;Teknis
4243;Pegawai 1852;Pengadaan barang dan jasa tingkat menengah;15;26/12/2021;Teknis
4244;Pegawai 300;Pemeriksaan Pendapatan Pajak Minerba;13;22/01/2022;Teknis
4245;Pegawai 1587;Pengelolaan Aset Negara (BMN);20;13/02/2022;Teknis
4246;Pegawai 1480;Penilaian Risiko Kecurangan dalam Pemeriksaan LKPD;9;16/06/2022;Teknis
4247;Pegawai 1217;Penyusunan dan analisa kontrak di lingkungan Pemerintahan;18;17/11/2022;Teknis
4248;Pegawai 1386;Etika Kerja Dalam Membangun Hubungan Kerja (PR);12;14/02/2022;Teknis
4249;Pegawai 1304;Pelayanan Prima;11;09/06/2021;Teknis
4250;Pegawai 1692;Teknik Wawancara dan SIAP LKPD;22;04/02/2022;Teknis
4251;Pegawai 358;Pemeriksaan Badan Layanan Umum (BLU);9;24/05/2022;Teknis
4252;Pegawai 544;International Financial Reporting System (IFRS);15;18/03/2021;Teknis
4253;Pegawai 556;Reviu Opini atas LHP LK;13;21/06/2022;Teknis
4254;Pegawai 223;Pengelolaan Website dan Sosial Media;8;21/12/2021;Teknis
4255;Pegawai 1537;Pemeriksaan LKPD KT;9;22/02/2022;Teknis
4256;Pegawai 750;Pemeriksaan Aset Tetap;17;07/12/2022;Teknis
4257;Pegawai 1831;Pemeriksaan Aset Tetap;17;07/12/2022;Teknis
4258;Pegawai 1081;Konseling;9;16/05/2021;Teknis
4259;Pegawai 295;SAP dan Reviu LKPD;9;04/06/2021;Teknis
4260;Pegawai 917;Master of Ceremony;10;06/01/2021;Teknis
4261;Pegawai 1613;Penyusunan dan revisi anggaran RKA-KL;15;06/04/2021;Teknis
4262;Pegawai 642;Penyusunan Prosedur Operasional Standar (POS);19;12/01/2021;Teknis
4263;Pegawai 1441;DIKLAT PEMERIKSADiklat Peran Anggota Tim Senior (ATS);18;30/06/2022;Fungsional
4264;Pegawai 1054;Pembentukan Instruktur;9;16/06/2021;Teknis
4265;Pegawai 431;Teknik Wawancara Forensik;14;12/07/2021;Teknis
4266;Pegawai 1735;Teknik Wawancara Forensik;14;12/07/2021;Teknis
4267;Pegawai 670;Pemeriksaan Laporan Keuangan Pemerintah;14;19/02/2021;Teknis
4268;Pegawai 821;Metode Penelitian Sosial;11;23/11/2022;Teknis
4269;Pegawai 1367;Logical Framework Analysis;11;01/08/2021;Teknis
4270;Pegawai 133;Manajemen Konflik;9;12/09/2021;Teknis
4271;Pegawai 1180;Manajemen Kompetensi;20;22/11/2022;Teknis
4272;Pegawai 1812;Pemeriksaan Belanja Daerah;15;20/10/2022;Teknis
4273;Pegawai 784;Diklat Kepemimpinan - II;8;18/01/2021;Kepemimpinan
4274;Pegawai 252;Teknik Sampling;17;12/08/2021;Teknis
4275;Pegawai 112;Sistem aplikasi di bidang keuangan dan penyusunan laporan;11;04/03/2022;Teknis
4276;Pegawai 924;Sistem Pengelolaan Keuangan Pemerintah Daerah (SPKPD);14;03/02/2022;Teknis
4277;Pegawai 168;Pelatihan Lanjutan Satpam Gada Madya;8;05/10/2022;Teknis
4278;Pegawai 852;Pemeriksaan aset kawasan industri;9;18/06/2021;Teknis
4279;Pegawai 862;Pemberian keterangan ahli;21;10/05/2022;Teknis
4280;Pegawai 1332;Statistik (metode pengembangan tools);11;21/04/2021;Teknis
4281;Pegawai 511;Investasi dan Pasar Modal;20;11/05/2021;Teknis
4282;Pegawai 1766;Pelatihan Lanjutan Satpam Gada Madya;8;05/10/2022;Teknis
4283;Pegawai 1934;Pengelolaan Website dan Sosial Media;8;21/12/2021;Teknis
4284;Pegawai 11;Hukum Acara Pidana, Perdata dan TUN serta Penafsiran Hukum;16;10/05/2021;Teknis
4285;Pegawai 1109;Penghitungan Kerugian Negara/Daerah;9;06/02/2022;Teknis
4286;Pegawai 638;Pengelolaan Perpustakaan;9;08/08/2022;Teknis
4287;Pegawai 367;Workshop persiapan pemeriksaan tematik Program Keluarga Harapan;11;20/03/2022;Teknis
4288;Pegawai 443;TABK (ACL, Arbutus, IDEA, Excel);11;26/05/2021;Teknis
4289;Pegawai 836;Aplikasi Perkantoran di BPK;18;30/08/2021;Teknis
4290;Pegawai 1589;Bantuan Hukum dalam proses peradilan;12;24/10/2022;Teknis
4291;Pegawai 1174;Persiapan Pemeriksaan Laporan Keuangan Pemerintah Daerah (LKPD) Berbasis Akrual;15;12/08/2021;Teknis
4292;Pegawai 1609;Sistem aplikasi pengelolaan SDM;14;12/04/2021;Teknis
4293;Pegawai 1898;Effective Government Auditing;11;08/01/2021;Teknis
4294;Pegawai 1856;Berpikir Kritis dan Inovatif;10;26/03/2021;Teknis
4295;Pegawai 943;Pengelolaan Perpustakaan;9;08/08/2022;Teknis
4296;Pegawai 1811;Creative Leadership;21;17/10/2022;Teknis
4297;Pegawai 1081;Keprotokolan;10;27/11/2022;Teknis
4298;Pegawai 1786;Peningkatan Kapasitas Pengelola Museum BPK RI;17;17/05/2022;Teknis
4299;Pegawai 765;Oracle Database;12;27/06/2022;Teknis
4300;Pegawai 1935;Penilaian angka kredit JFP;11;23/04/2022;Teknis
4301;Pegawai 1575;Diklat Pembentukan Jabatan Fungsional Lainya (JFL);15;22/03/2022;Fungsional
4302;Pegawai 1339;Professional Image Grooming;8;23/11/2021;Teknis
4303;Pegawai 104;Change Management;10;27/10/2022;Teknis
4304;Pegawai 645;Pemeriksaan investigatif;19;09/05/2021;Teknis
4305;Pegawai 1928;Penilaian Risiko Kecurangan dalam Pemeriksaan LKPD;9;16/06/2022;Teknis
4306;Pegawai 976;Pemahaman Entitas dan Penentuan Area Potensial;15;30/01/2022;Teknis
4307;Pegawai 1184;Teknik Sampling;17;12/08/2021;Teknis
4308;Pegawai 1168;Kepaniteraan Kerugian Negara;19;15/05/2022;Teknis
4309;Pegawai 1536;Professional Image Grooming;8;23/11/2021;Teknis
4310;Pegawai 1282;Pengelolaan Website dan Sosial Media;8;21/12/2021;Teknis
4311;Pegawai 1838;Diklat Orientasi ke-BPK-an - Gol. III;14;17/09/2022;Orientasi Ke-BPK-AN
4312;Pegawai 1544;Pemeriksaan pajak BUMN jasa karya;19;17/08/2021;Teknis
4313;Pegawai 650;Pemeriksaan Terumbu Karang;11;03/11/2021;Teknis
4314;Pegawai 781;Project Management;22;17/04/2022;Teknis
4315;Pegawai 855;Pelayanan Prima;11;09/06/2021;Teknis
4316;Pegawai 661;Berpikir Kritis dan Inovatif;10;26/03/2021;Teknis
4317;Pegawai 47;Penghitungan Kerugian Negara/Daerah;9;06/02/2022;Teknis
4318;Pegawai 1795;Pemeriksaan Manajemen Kas;22;30/12/2021;Teknis
4319;Pegawai 67;Risk Based Audit dan SIAP LKPD;17;14/06/2022;Teknis
4320;Pegawai 1684;Pemeriksaan Belanja Daerah;15;20/10/2022;Teknis
4321;Pegawai 1986;Pengelolaan Aset Negara (BMN);20;13/02/2022;Teknis
4322;Pegawai 1837;SAP dan Reviu LKPD;9;04/06/2021;Teknis
4323;Pegawai 65;Audit Forensik;16;15/04/2021;Teknis
4324;Pegawai 332;Perencanaan Pengadaan;20;13/12/2021;Teknis
4325;Pegawai 1701;Pengadaan barang dan jasa tingkat menengah;15;26/12/2021;Teknis
4326;Pegawai 24;Penanganan massa;20;02/07/2021;Teknis
4327;Pegawai 237;Penyusunan Laporan Keuangan;15;03/07/2022;Teknis
4328;Pegawai 767;Diklat Peran Ketua Tim Senior (KTS);18;25/07/2022;Fungsional
4329;Pegawai 1064;Workshop persiapan pemeriksaan tematik Program Keluarga Harapan;11;20/03/2022;Teknis
4330;Pegawai 1508;Kepaniteraan Kerugian Negara;19;15/05/2022;Teknis
4331;Pegawai 1034;Digital Forensic;15;21/01/2021;Teknis
4332;Pegawai 152;Penataran P4;13;22/09/2021;P4
4333;Pegawai 1732;Perencanaan Pengadaan;20;13/12/2021;Teknis
4334;Pegawai 1759;Teknik Sampling;17;12/08/2021;Teknis
4335;Pegawai 1436;Microsoft Excel;16;19/06/2021;Teknis
4336;Pegawai 331;Penulisan Kajian;14;12/11/2021;Teknis
4337;Pegawai 1418;TABK LKKL;18;04/05/2022;Teknis
4338;Pegawai 216;Teknik Membaca Cepat;14;22/12/2022;Teknis
4339;Pegawai 1351;Pengelolaan Informasi Publik;9;01/11/2022;Teknis
4340;Pegawai 312;SAP dan Reviu LKPD;9;04/06/2021;Teknis
4341;Pegawai 1730;Sistem Kendali Kecurangan;12;23/02/2021;Teknis
4342;Pegawai 695;TABK-Arbutus;11;21/08/2021;Teknis
4343;Pegawai 657;Perencanaan Strategis;13;08/03/2022;Teknis
4344;Pegawai 258;Logical Framework Analysis;11;01/08/2021;Teknis
4345;Pegawai 984;Pemeriksaan Atas Laporan Keuangan;21;27/08/2021;Teknis
4346;Pegawai 794;Teknik Sampling;17;12/08/2021;Teknis
4347;Pegawai 1560;Reviu Opini atas LHP LK;13;21/06/2022;Teknis
4348;Pegawai 1380;Penyusunan Prosedur Operasional Standar (POS);19;12/01/2021;Teknis
4349;Pegawai 1794;PPSPM Negara Tersertifikasi;11;19/07/2022;Teknis
4350;Pegawai 1507;TABK Excel;19;10/10/2021;Teknis
4351;Pegawai 1598;Diklat Pembentukan Jabatan Fungsional Pemeriksa (JFP);12;03/04/2022;Fungsional
4352;Pegawai 1817;Pemeriksaan PNBP dan lingkungan mineral dan pertambangan;17;25/03/2021;Teknis
4353;Pegawai 599;Workshop persiapan pemeriksaan LKPP/LKKL;14;22/08/2022;Teknis
4354;Pegawai 491;Penulisan Kajian;14;12/11/2021;Teknis
4355;Pegawai 1185;Sistem Kendali Kecurangan;12;23/02/2021;Teknis
4356;Pegawai 238;Pemberian Pendapat Hukum dan Konsultasi Hukum;11;09/11/2022;Teknis
4357;Pegawai 1675;Diklat Kepemimpinan - II;8;18/01/2021;Kepemimpinan
4358;Pegawai 1426;Pemeriksaan aset kawasan industri;9;18/06/2021;Teknis
4359;Pegawai 418;Pemeriksaan Kinerja Executive;20;12/08/2022;Teknis
4360;Pegawai 754;Teknik Wawancara dan SIAP LKPD;22;04/02/2022;Teknis
4361;Pegawai 1014;Pemberian Pendapat Hukum dan Konsultasi Hukum;11;09/11/2022;Teknis
4362;Pegawai 766;Pemeriksaan investigatif;19;09/05/2021;Teknis
4363;Pegawai 559;Teknik Wawancara dan SIAP LKPD;22;04/02/2022;Teknis
4364;Pegawai 557;Etika Kerja Dalam Membangun Hubungan Kerja (PR);12;14/02/2022;Teknis
4365;Pegawai 1233;Risk Based Audit ;19;10/01/2022;Teknis
4366;Pegawai 1893;Diklat Prajabatan - Gol. III;14;04/03/2021;Pra-Jabatan
4367;Pegawai 703;Penulisan Laporan (Gaya Selingkung), Kodering Temuan dan Penyusunan KKP;11;23/06/2022;Teknis
4368;Pegawai 1400;Sistem aplikasi di bidang keuangan dan penyusunan laporan;11;04/03/2022;Teknis
4369;Pegawai 1654;Sertifikasi Bendahara Pengeluaran;21;04/10/2021;Teknis
4370;Pegawai 1761;Project Management;22;17/04/2022;Teknis
4371;Pegawai 1660;Effective Government Auditing;11;08/01/2021;Teknis
4372;Pegawai 1512;Statistik (metode pengembangan tools);11;21/04/2021;Teknis
4373;Pegawai 1760;Psikologi Pemeriksaan;21;09/11/2022;Teknis
4374;Pegawai 915;Effective Government Auditing;11;08/01/2021;Teknis
4375;Pegawai 1047;Penyusunan Laporan Keuangan;15;03/07/2022;Teknis
4376;Pegawai 883;Diklat Orientasi ke-BPK-an - Gol. II;13;10/09/2021;Orientasi Ke-BPK-AN
4377;Pegawai 1753;Penginderaan Jauh (GIS);12;20/09/2021;Teknis
4378;Pegawai 453;Workshop persiapan pemeriksaan tematik Program Keluarga Harapan;11;20/03/2022;Teknis
4379;Pegawai 1104;Penilaian Sistem Pengendalian Intern;21;18/03/2022;Teknis
4380;Pegawai 1771;Metode Penelitian Sosial;11;23/11/2022;Teknis
4381;Pegawai 1825;Berpikir Kritis dan Inovatif;10;26/03/2021;Teknis
4382;Pegawai 1189;Pemahaman Entitas dan Penentuan Area Potensial;15;30/01/2022;Teknis
4383;Pegawai 1069;Pelatihan Lanjutan Satpam Gada Madya;8;05/10/2022;Teknis
4384;Pegawai 755;Teknik Sampling;17;12/08/2021;Teknis
4385;Pegawai 1264;Diklat Prajabatan - Gol. I;22;04/09/2021;Pra-Jabatan
4386;Pegawai 625;TABK-ACL;19;18/02/2021;Teknis
4387;Pegawai 1200;Konseling;9;16/05/2021;Teknis
4388;Pegawai 1812;Creative thinking;10;06/07/2021;Teknis
4389;Pegawai 375;Workshop persiapan pemeriksaan LKPP/LKKL;14;22/08/2022;Teknis
4390;Pegawai 1532;Kehumasan;10;01/01/2022;Teknis
4391;Pegawai 201;Pelatihan Lanjutan Satpam Gada Madya;8;05/10/2022;Teknis
4392;Pegawai 63;TABK SIMDA;19;01/08/2021;Teknis
4393;Pegawai 111;Audit Forensik;16;15/04/2021;Teknis
4394;Pegawai 1861;Komunikasi Kepemimpinan;13;02/06/2021;Teknis
4395;Pegawai 975;Penyusunan dan analisa kontrak di lingkungan Pemerintahan;18;17/11/2022;Teknis
4396;Pegawai 34;Aspek Hukum dan Tindak Pidana Korupsi;12;19/03/2021;Teknis
4397;Pegawai 1861;Analis AnggaranAnalis Kebijakan;8;29/06/2021;Fungsional
4398;Pegawai 1287;Fotografi;11;11/05/2022;Teknis
4399;Pegawai 304;Sistem aplikasi pengelolaan SDM;14;12/04/2021;Teknis
4400;Pegawai 1827;Pengelolaan Informasi Publik;9;01/11/2022;Teknis
4401;Pegawai 852;Diklat Orientasi ke-BPK-an - Gol. II;13;10/09/2021;Orientasi Ke-BPK-AN
4402;Pegawai 1118;Pemeriksaan pajak BUMN jasa karya;19;17/08/2021;Teknis
4403;Pegawai 1120;Legal Drafting, legal review, &amp;9;12/04/2021;Teknis
4404;Pegawai 777;Diklat Peran Pengendali Mutu (PM);19;13/02/2021;Fungsional
4405;Pegawai 1567;Reviu Opini atas LHP LK;13;21/06/2022;Teknis
4406;Pegawai 1709;Aplikasi Perkantoran di BPK;18;30/08/2021;Teknis
4407;Pegawai 531;SAP dan Reviu LKPD;9;04/06/2021;Teknis
4408;Pegawai 1701;Sertifikasi Asesor;18;07/04/2022;Teknis
4409;Pegawai 939;Manajemen Kediklatan;11;13/03/2021;Teknis
4410;Pegawai 254;Teknik Wawancara dan SIAP LKPD;22;04/02/2022;Teknis
4411;Pegawai 718;Peningkatan Kapasitas Pengelola Museum BPK RI;17;17/05/2022;Teknis
4412;Pegawai 1081;Peningkatan Kapasitas Pengelola Museum BPK RI;17;17/05/2022;Teknis
4413;Pegawai 936;Pemeriksaan Badan Usaha Milik Daerah (BUMD);12;15/01/2021;Teknis
4414;Pegawai 713;Perencanaan Pengadaan;20;13/12/2021;Teknis
4415;Pegawai 1632;Reviu Opini atas LHP LK;13;21/06/2022;Teknis
4416;Pegawai 107;Master of Ceremony;10;06/01/2021;Teknis
4417;Pegawai 1001;Teknik Wawancara;10;27/11/2021;Teknis
4418;Pegawai 1190;Pemeriksaan Bencana;9;22/10/2021;Teknis
4419;Pegawai 427;Teknik Membaca Cepat;14;22/12/2022;Teknis
4420;Pegawai 29;Pemasaran Sektor Publik;9;14/12/2021;Teknis
4421;Pegawai 1757;Pemeriksaan Badan Layanan Umum (BLU);9;24/05/2022;Teknis
4422;Pegawai 1959;Penyusunan dan Analisis Kontrak;8;26/01/2021;Teknis
4423;Pegawai 1011;TABK-KPPN;14;26/07/2022;Teknis
4424;Pegawai 1781;Event Management;15;01/12/2022;Teknis
4425;Pegawai 667;Pemeriksaan Laporan Keuangan Pemerintah;14;19/02/2021;Teknis
4426;Pegawai 413;Peningkatan Kapasitas Pengelola Museum BPK RI;17;17/05/2022;Teknis
4427;Pegawai 1642;Diklat Peran Pengendali Teknis (PT);13;29/12/2022;Fungsional
4428;Pegawai 282;Reviu Opini atas LHP LK;13;21/06/2022;Teknis
4429;Pegawai 83;Pengadaan infrastruktur;18;04/01/2022;Teknis
4430;Pegawai 140;Keprotokolan;10;27/11/2022;Teknis
4431;Pegawai 594;Effective Government Auditing;11;08/01/2021;Teknis
4432;Pegawai 1936;Digital Forensic;15;21/01/2021;Teknis
4433;Pegawai 784;Workshop persiapan pemeriksaan tematik Program Keluarga Harapan;11;20/03/2022;Teknis
4434;Pegawai 856;Pemeriksaan Berprespektif Lingkungan;17;15/04/2022;Teknis
4435;Pegawai 129;SAP dan Reviu LKPD;9;04/06/2021;Teknis
4436;Pegawai 1564;TABK-Arbutus;11;21/08/2021;Teknis
4437;Pegawai 273;Pemeriksaan Kinerja KT;20;14/09/2021;Teknis
4438;Pegawai 1349;Penulisan Kajian;14;12/11/2021;Teknis
4439;Pegawai 1663;Pengelolaan Jaringan;12;13/06/2021;Teknis
4440;Pegawai 1803;Manajemen Konflik;9;12/09/2021;Teknis
4441;Pegawai 1178;Pemeriksaan Belanja Daerah;15;20/10/2022;Teknis
4442;Pegawai 863;Pemeriksaan Pendapatan Pajak Minerba;13;22/01/2022;Teknis
4443;Pegawai 1995;Sistem Pengelolaan Keuangan Pemerintah Daerah (SPKPD);14;03/02/2022;Teknis
4444;Pegawai 691;PPSPM Negara Tersertifikasi;11;19/07/2022;Teknis
4445;Pegawai 1089;Manajemen Perpustakaan;16;27/11/2022;Teknis
4446;Pegawai 953;Aspek Hukum dalam Pengadaan Barang dan Jasa;20;01/03/2021;Teknis
4447;Pegawai 559;Pemberian Keterangan ahli;21;10/05/2022;Teknis
4448;Pegawai 427;TABK Excel;19;10/10/2021;Teknis
4449;Pegawai 515;Media Handling;12;05/03/2021;Teknis
4450;Pegawai 1403;Penyusunan Naskah Pidato;17;27/02/2022;Teknis
4451;Pegawai 1940;Microsoft Excel;16;19/06/2021;Teknis
4452;Pegawai 623;Analis KepegawaianAnggota Tim;21;17/06/2021;Fungsional
4453;Pegawai 1277;Manajemen Kinerja;17;23/10/2021;Teknis
4454;Pegawai 1248;Lain-lain;19;26/06/2022;Teknis
4455;Pegawai 830;Manajemen Perpustakaan;16;27/11/2022;Teknis
