pegawai_bahasa_id;pegawai_nama;bahasa_nama;tahun_dari;pegawai_perwakilan
329;Pegawai 1997;English;18/05/2021;BPK Perwakilan Provinsi Kalimantan Utara
330;Pegawai 1518;English;20/08/2020;BPK Perwakilan Provinsi Papua
331;Pegawai 534;English;04/03/2021;BPK Perwakilan Provinsi Sulawesi Tengah
332;Pegawai 566;English;30/05/2020;BPK Perwakilan Provinsi Sulawesi Barat
333;Pegawai 1026;English;09/10/2021;BPK Perwakilan Provinsi Banten
334;Pegawai 789;English;14/11/2019;BPK Perwakilan Provinsi Kalimantan Selatan
335;Pegawai 686;English;05/01/2021;BPK Perwakilan Provinsi Riau
336;Pegawai 110;English;22/07/2020;BPK Perwakilan Provinsi Kalimantan Barat
337;Pegawai 819;English;15/05/2020;BPK Perwakilan Provinsi Kalimantan Barat
338;Pegawai 1490;English;21/08/2022;BPK Perwakilan Provinsi Banten
339;Pegawai 1445;English;24/04/2019;BPK Perwakilan Provinsi Jawa Timur
340;Pegawai 28;English;12/03/2021;BPK Perwakilan Provinsi Nusa Tenggara Barat
341;Pegawai 152;English;18/03/2019;BPK Perwakilan Provinsi Bali
342;Pegawai 466;English;08/04/2021;BPK Perwakilan Provinsi Papua
343;Pegawai 552;English;21/08/2022;BPK Perwakilan Provinsi Gorontalo
344;Pegawai 1701;English;17/05/2019;BPK Perwakilan Provinsi Lampung
345;Pegawai 600;English;07/12/2021;BPK Perwakilan Provinsi Bali
346;Pegawai 1222;English;27/06/2019;BPK Perwakilan Provinsi Jawa Barat
347;Pegawai 1946;English;06/11/2019;BPK Perwakilan Provinsi Banten
348;Pegawai 1724;English;20/05/2019;BPK Perwakilan Provinsi Jambi
349;Pegawai 1965;English;29/11/2022;BPK Perwakilan Provinsi Kalimantan Barat
350;Pegawai 1713;English;02/06/2021;BPK Perwakilan Provinsi Kalimantan Utara
351;Pegawai 705;English;10/11/2019;BPK Perwakilan Provinsi Papua
352;Pegawai 301;English;04/05/2021;BPK Perwakilan Provinsi Maluku Utara
353;Pegawai 1975;English;29/07/2020;BPK Perwakilan Provinsi Jambi
354;Pegawai 852;English;03/02/2022;BPK Perwakilan Provinsi Bengkulu
355;Pegawai 721;English;09/10/2019;BPK Perwakilan Provinsi Papua Barat
356;Pegawai 903;English;29/01/2021;BPK Perwakilan Provinsi Kalimantan Selatan
357;Pegawai 1132;English;08/11/2019;BPK Perwakilan Provinsi Kalimantan Timur
358;Pegawai 1436;English;25/06/2021;BPK Perwakilan Provinsi Sumatera Barat
359;Pegawai 524;English;07/06/2022;BPK Perwakilan Provinsi Sulawesi Tenggara
360;Pegawai 303;English;02/04/2021;BPK Perwakilan Provinsi Kalimantan Selatan
361;Pegawai 731;English;30/05/2022;BPK Perwakilan Provinsi Jambi
362;Pegawai 1147;English;19/09/2022;BPK Perwakilan Provinsi Banten
363;Pegawai 780;English;15/03/2021;BPK Perwakilan Provinsi Kalimantan Tengah
364;Pegawai 794;English;01/07/2020;BPK Perwakilan Provinsi Bengkulu
365;Pegawai 1690;English;19/05/2021;BPK Perwakilan Provinsi DKI Jakarta
366;Pegawai 1826;English;21/05/2022;BPK Perwakilan Provinsi Sulawesi Utara
367;Pegawai 708;English;01/02/2020;BPK Perwakilan Provinsi Papua
368;Pegawai 265;English;25/04/2021;BPK Perwakilan Provinsi Sumatera Utara
369;Pegawai 1170;English;17/12/2020;BPK Perwakilan Provinsi Lampung
370;Pegawai 1190;English;14/07/2020;BPK Perwakilan Provinsi Papua
371;Pegawai 994;English;03/01/2020;BPK Perwakilan Provinsi Maluku Utara
372;Pegawai 100;English;18/11/2020;BPK Perwakilan Provinsi Aceh
373;Pegawai 246;English;15/02/2020;BPK Perwakilan Provinsi Kalimantan Selatan
374;Pegawai 1819;English;26/06/2020;BPK Perwakilan Provinsi Sulawesi Tengah
375;Pegawai 1291;English;14/10/2019;BPK Perwakilan Provinsi Jawa Tengah
376;Pegawai 1418;English;17/06/2020;BPK Perwakilan Provinsi Sulawesi Barat
377;Pegawai 499;English;27/02/2020;BPK Perwakilan Provinsi Bangka Belitung
378;Pegawai 1557;English;03/10/2022;BPK Perwakilan Provinsi Aceh
379;Pegawai 113;English;15/01/2020;BPK Perwakilan Provinsi Nusa Tenggara Barat
380;Pegawai 491;English;06/06/2020;BPK Perwakilan Provinsi Kalimantan Selatan
381;Pegawai 1283;English;23/05/2022;BPK Perwakilan Provinsi Riau
382;Pegawai 840;English;21/01/2022;BPK Perwakilan Provinsi Aceh
383;Pegawai 138;English;26/01/2021;BPK Perwakilan Provinsi Sulawesi Barat
384;Pegawai 36;English;15/05/2019;BPK Perwakilan Provinsi Maluku
385;Pegawai 1027;English;18/09/2021;BPK Perwakilan Provinsi Aceh
386;Pegawai 758;English;09/03/2021;BPK Perwakilan Provinsi Kalimantan Tengah
387;Pegawai 7;English;03/08/2020;BPK Perwakilan Provinsi Jawa Tengah
388;Pegawai 716;English;08/07/2021;BPK Perwakilan Provinsi Jawa Barat
389;Pegawai 1995;English;09/02/2019;BPK Perwakilan Provinsi Sulawesi Tenggara
390;Pegawai 1068;English;01/06/2019;BPK Perwakilan Provinsi Sulawesi Tenggara
391;Pegawai 808;English;24/02/2019;BPK Perwakilan Provinsi Sulawesi Selatan
392;Pegawai 1668;English;24/07/2020;BPK Perwakilan Provinsi Nusa Tenggara Timur
393;Pegawai 222;English;15/07/2019;BPK Perwakilan Provinsi Sulawesi Tengah
394;Pegawai 1188;English;06/03/2022;BPK Perwakilan Provinsi Kalimantan Timur
395;Pegawai 1793;English;29/08/2020;BPK Perwakilan Provinsi Kepulauan Riau
396;Pegawai 1739;English;22/12/2021;BPK Perwakilan Provinsi Sulawesi Barat
397;Pegawai 1445;English;25/05/2021;BPK Perwakilan Provinsi Jawa Timur
398;Pegawai 1557;English;23/03/2022;BPK Perwakilan Provinsi Aceh
399;Pegawai 1627;English;28/05/2020;BPK Perwakilan Provinsi Riau
400;Pegawai 1014;English;25/01/2020;BPK Perwakilan Provinsi Bangka Belitung
401;Pegawai 961;English;16/06/2022;BPK Perwakilan Provinsi Sumatera Utara
402;Pegawai 126;English;27/03/2021;BPK Perwakilan Provinsi Jawa Barat
403;Pegawai 748;English;26/03/2021;BPK Perwakilan Provinsi Riau
404;Pegawai 1244;English;31/03/2020;BPK Perwakilan Provinsi Kalimantan Barat
405;Pegawai 1297;English;09/08/2022;BPK Perwakilan Provinsi Sulawesi Tenggara
406;Pegawai 125;English;30/12/2019;BPK Perwakilan Provinsi Lampung
407;Pegawai 736;English;08/09/2019;BPK Perwakilan Provinsi Papua Barat
408;Pegawai 1994;English;27/01/2021;BPK Perwakilan Provinsi Papua
409;Pegawai 695;English;02/02/2019;BPK Perwakilan Provinsi Bangka Belitung
410;Pegawai 1251;English;18/03/2022;BPK Perwakilan Provinsi Riau
411;Pegawai 828;English;21/03/2021;BPK Perwakilan Provinsi DKI Jakarta
412;Pegawai 999;English;06/02/2021;BPK Perwakilan Provinsi Papua
413;Pegawai 985;English;01/08/2019;BPK Perwakilan Provinsi Bali
414;Pegawai 62;English;19/08/2022;BPK Perwakilan Provinsi Kepulauan Riau
415;Pegawai 695;English;12/05/2021;BPK Perwakilan Provinsi Bangka Belitung
416;Pegawai 1214;English;07/08/2020;BPK Perwakilan Provinsi Kalimantan Barat
417;Pegawai 1652;English;30/12/2019;BPK Perwakilan Provinsi Banten
418;Pegawai 140;English;09/09/2022;BPK Perwakilan Provinsi Bengkulu
419;Pegawai 800;English;21/02/2022;BPK Perwakilan Provinsi Kalimantan Timur
420;Pegawai 1657;English;22/12/2019;BPK Perwakilan Provinsi Sulawesi Utara
421;Pegawai 790;English;13/12/2019;BPK Perwakilan Provinsi Lampung
422;Pegawai 1421;English;12/04/2021;BPK Perwakilan Provinsi Bengkulu
423;Pegawai 616;English;14/12/2019;BPK Perwakilan Provinsi Riau
424;Pegawai 761;English;08/04/2020;BPK Perwakilan Provinsi Jawa Timur
425;Pegawai 800;English;11/11/2021;BPK Perwakilan Provinsi Kalimantan Timur
426;Pegawai 1698;English;02/03/2020;BPK Perwakilan Provinsi Papua Barat
427;Pegawai 1883;English;28/09/2019;BPK Perwakilan Provinsi Aceh
428;Pegawai 804;English;22/12/2021;BPK Perwakilan Provinsi Banten
429;Pegawai 1615;English;07/01/2021;BPK Perwakilan Provinsi DKI Jakarta
430;Pegawai 279;English;20/02/2020;BPK Perwakilan Provinsi Jambi
431;Pegawai 867;English;17/05/2020;BPK Perwakilan Provinsi Nusa Tenggara Timur
432;Pegawai 1370;English;02/10/2022;BPK Perwakilan Provinsi Banten
433;Pegawai 1576;English;13/09/2020;BPK Perwakilan Provinsi Jawa Tengah
434;Pegawai 528;English;02/06/2022;BPK Perwakilan Provinsi Sulawesi Tengah
435;Pegawai 1416;English;29/10/2019;BPK Perwakilan Provinsi Sulawesi Selatan
436;Pegawai 1622;English;18/08/2019;BPK Perwakilan Provinsi Nusa Tenggara Timur
437;Pegawai 1512;English;18/03/2019;BPK Perwakilan Provinsi DI Yogyakarta
438;Pegawai 655;English;02/11/2021;BPK Perwakilan Provinsi Kalimantan Tengah
439;Pegawai 1326;English;22/02/2022;BPK Perwakilan Provinsi Sumatera Barat
440;Pegawai 949;English;09/02/2022;BPK Perwakilan Provinsi Jambi
441;Pegawai 798;English;30/06/2021;BPK Perwakilan Provinsi Sumatera Utara
442;Pegawai 82;English;05/03/2019;BPK Perwakilan Provinsi Lampung
443;Pegawai 1974;English;10/11/2022;BPK Perwakilan Provinsi Sulawesi Tengah
444;Pegawai 35;English;24/04/2020;BPK Perwakilan Provinsi Sumatera Selatan
445;Pegawai 468;English;07/01/2021;BPK Perwakilan Provinsi Jawa Tengah
446;Pegawai 191;English;26/10/2021;BPK Perwakilan Provinsi Aceh
447;Pegawai 1497;English;15/05/2022;BPK Perwakilan Provinsi Papua Barat
448;Pegawai 420;English;01/06/2022;BPK Perwakilan Provinsi Banten
449;Pegawai 374;English;24/09/2022;BPK Perwakilan Provinsi DKI Jakarta
450;Pegawai 1325;English;25/04/2019;BPK Perwakilan Provinsi Kalimantan Selatan
451;Pegawai 225;English;26/09/2019;BPK Perwakilan Provinsi Nusa Tenggara Timur
452;Pegawai 1845;English;30/12/2021;BPK Perwakilan Provinsi Banten
453;Pegawai 611;English;22/09/2019;BPK Perwakilan Provinsi Jawa Barat
454;Pegawai 1594;English;28/02/2020;BPK Perwakilan Provinsi Papua Barat
455;Pegawai 1734;English;26/04/2020;BPK Perwakilan Provinsi Bali
456;Pegawai 276;English;16/03/2022;BPK Perwakilan Provinsi Jawa Tengah
457;Pegawai 1679;English;15/10/2021;BPK Perwakilan Provinsi Maluku Utara
458;Pegawai 37;English;26/12/2020;BPK Perwakilan Provinsi Jawa Tengah
459;Pegawai 377;English;12/11/2019;BPK Perwakilan Provinsi Jambi
460;Pegawai 791;English;21/05/2022;BPK Perwakilan Provinsi Maluku Utara
461;Pegawai 1718;English;22/09/2019;BPK Perwakilan Provinsi Jawa Barat
462;Pegawai 1919;English;21/02/2022;BPK Perwakilan Provinsi Papua Barat
463;Pegawai 1451;English;18/04/2020;BPK Perwakilan Provinsi Sumatera Selatan
464;Pegawai 404;English;08/10/2019;BPK Perwakilan Provinsi Kalimantan Barat
465;Pegawai 1888;English;19/06/2021;BPK Perwakilan Provinsi Kepulauan Riau
466;Pegawai 740;English;11/06/2021;BPK Perwakilan Provinsi Sulawesi Utara
467;Pegawai 129;English;25/08/2021;BPK Perwakilan Provinsi Kalimantan Selatan
468;Pegawai 251;English;19/06/2020;BPK Perwakilan Provinsi Kalimantan Utara
469;Pegawai 51;English;01/04/2019;BPK Perwakilan Provinsi Papua Barat
470;Pegawai 243;English;14/02/2019;BPK Perwakilan Provinsi Jawa Timur
471;Pegawai 1716;English;13/08/2019;BPK Perwakilan Provinsi Jawa Timur
472;Pegawai 750;English;21/04/2019;BPK Perwakilan Provinsi Kalimantan Selatan
473;Pegawai 833;English;08/10/2020;BPK Perwakilan Provinsi Papua
474;Pegawai 1763;English;13/04/2022;BPK Perwakilan Provinsi Sumatera Barat
475;Pegawai 1571;English;10/04/2021;BPK Perwakilan Provinsi Sulawesi Barat
476;Pegawai 1663;English;02/03/2021;BPK Perwakilan Provinsi DKI Jakarta
477;Pegawai 1549;English;17/02/2019;BPK Perwakilan Provinsi Sulawesi Tenggara
478;Pegawai 1094;English;20/01/2021;BPK Perwakilan Provinsi Sulawesi Tengah
479;Pegawai 865;English;24/09/2021;BPK Perwakilan Provinsi Kalimantan Selatan
480;Pegawai 758;English;11/11/2022;BPK Perwakilan Provinsi Kalimantan Tengah
481;Pegawai 1633;English;30/09/2019;BPK Perwakilan Provinsi Kepulauan Riau
482;Pegawai 662;English;17/10/2019;BPK Perwakilan Provinsi Kalimantan Barat
483;Pegawai 847;English;01/08/2022;BPK Perwakilan Provinsi Sumatera Utara
484;Pegawai 1833;English;13/09/2020;BPK Perwakilan Provinsi Bengkulu
485;Pegawai 468;English;20/10/2019;BPK Perwakilan Provinsi Jawa Tengah
486;Pegawai 1450;English;12/05/2021;BPK Perwakilan Provinsi DI Yogyakarta
487;Pegawai 1910;English;31/01/2020;BPK Perwakilan Provinsi Jawa Barat
488;Pegawai 763;English;09/12/2019;BPK Perwakilan Provinsi Jambi
489;Pegawai 271;English;27/08/2019;BPK Perwakilan Provinsi Aceh
490;Pegawai 717;English;04/11/2022;BPK Perwakilan Provinsi Kalimantan Utara
491;Pegawai 1985;English;21/01/2022;BPK Perwakilan Provinsi Bengkulu
492;Pegawai 1067;English;03/02/2019;BPK Perwakilan Provinsi Maluku
493;Pegawai 1930;English;25/03/2019;BPK Perwakilan Provinsi Riau
494;Pegawai 374;English;11/02/2019;BPK Perwakilan Provinsi DKI Jakarta
495;Pegawai 1594;English;12/01/2020;BPK Perwakilan Provinsi Papua Barat
496;Pegawai 670;English;31/05/2020;BPK Perwakilan Provinsi DKI Jakarta
497;Pegawai 514;English;02/05/2021;BPK Perwakilan Provinsi Sumatera Selatan
498;Pegawai 185;English;22/07/2022;BPK Perwakilan Provinsi Sulawesi Selatan
499;Pegawai 1216;English;10/03/2019;BPK Perwakilan Provinsi Sulawesi Tenggara
500;Pegawai 151;English;16/02/2021;BPK Perwakilan Provinsi Sumatera Utara
501;Pegawai 593;English;18/08/2021;BPK Perwakilan Provinsi Sulawesi Selatan
502;Pegawai 1771;English;16/08/2020;BPK Perwakilan Provinsi Kalimantan Selatan
503;Pegawai 135;English;17/02/2022;BPK Perwakilan Provinsi Jawa Tengah
504;Pegawai 1923;English;05/12/2022;BPK Perwakilan Provinsi Papua Barat
505;Pegawai 1280;English;15/06/2021;BPK Perwakilan Provinsi Sulawesi Tengah
506;Pegawai 1537;English;11/02/2019;BPK Perwakilan Provinsi Kalimantan Barat
507;Pegawai 1943;English;09/05/2019;BPK Perwakilan Provinsi DKI Jakarta
508;Pegawai 1559;English;03/09/2019;BPK Perwakilan Provinsi Kepulauan Riau
509;Pegawai 76;English;04/03/2021;BPK Perwakilan Provinsi Sulawesi Utara
510;Pegawai 660;English;14/04/2020;BPK Perwakilan Provinsi Nusa Tenggara Timur
511;Pegawai 1998;English;08/11/2020;BPK Perwakilan Provinsi Bali
512;Pegawai 1283;English;04/11/2022;BPK Perwakilan Provinsi Riau
513;Pegawai 945;English;21/01/2020;BPK Perwakilan Provinsi DI Yogyakarta
514;Pegawai 1823;English;25/08/2020;BPK Perwakilan Provinsi Sumatera Utara
515;Pegawai 534;English;24/05/2019;BPK Perwakilan Provinsi Sulawesi Tengah
516;Pegawai 1355;English;07/09/2020;BPK Perwakilan Provinsi Nusa Tenggara Barat
517;Pegawai 1627;English;02/12/2021;BPK Perwakilan Provinsi Riau
518;Pegawai 1994;English;22/05/2022;BPK Perwakilan Provinsi Papua
519;Pegawai 814;English;15/05/2019;BPK Perwakilan Provinsi Kalimantan Utara
520;Pegawai 297;English;24/06/2021;BPK Perwakilan Provinsi Jawa Tengah
521;Pegawai 1957;English;04/03/2020;BPK Perwakilan Provinsi Sulawesi Tengah
522;Pegawai 1866;English;10/03/2020;BPK Perwakilan Provinsi Banten
523;Pegawai 1873;English;18/11/2019;BPK Perwakilan Provinsi Nusa Tenggara Barat
524;Pegawai 256;English;19/04/2019;BPK Perwakilan Provinsi Papua Barat
525;Pegawai 1547;English;30/10/2021;BPK Perwakilan Provinsi Jawa Barat
526;Pegawai 196;English;29/09/2022;BPK Perwakilan Provinsi Kalimantan Tengah
527;Pegawai 943;English;04/08/2020;BPK Perwakilan Provinsi Maluku
528;Pegawai 981;English;10/06/2020;BPK Perwakilan Provinsi DI Yogyakarta
529;Pegawai 922;English;26/11/2022;BPK Perwakilan Provinsi Jawa Tengah
530;Pegawai 1347;English;02/07/2022;BPK Perwakilan Provinsi Sumatera Barat
531;Pegawai 1368;English;09/12/2019;BPK Perwakilan Provinsi Banten
532;Pegawai 1275;English;06/03/2019;BPK Perwakilan Provinsi Kalimantan Timur
533;Pegawai 1227;English;06/11/2021;BPK Perwakilan Provinsi Bali
534;Pegawai 1068;English;02/03/2022;BPK Perwakilan Provinsi Sulawesi Tenggara
535;Pegawai 104;English;12/08/2019;BPK Perwakilan Provinsi Jawa Timur
536;Pegawai 1574;English;11/02/2021;BPK Perwakilan Provinsi Nusa Tenggara Barat
537;Pegawai 1213;English;18/05/2019;BPK Perwakilan Provinsi Maluku
538;Pegawai 59;English;05/04/2022;BPK Perwakilan Provinsi Aceh
539;Pegawai 1463;English;12/07/2022;BPK Perwakilan Provinsi Sulawesi Selatan
540;Pegawai 323;English;31/12/2019;BPK Perwakilan Provinsi Sumatera Selatan
541;Pegawai 701;English;01/07/2020;BPK Perwakilan Provinsi Kalimantan Selatan
542;Pegawai 1580;English;01/10/2019;BPK Perwakilan Provinsi Jambi
543;Pegawai 1453;English;06/11/2022;BPK Perwakilan Provinsi Banten
544;Pegawai 123;English;29/06/2019;BPK Perwakilan Provinsi Nusa Tenggara Timur
545;Pegawai 1360;English;19/08/2020;BPK Perwakilan Provinsi Sulawesi Utara
546;Pegawai 10;English;08/10/2021;BPK Perwakilan Provinsi Jawa Timur
547;Pegawai 1555;English;11/03/2021;BPK Perwakilan Provinsi Jawa Timur
548;Pegawai 1921;English;27/09/2021;BPK Perwakilan Provinsi Gorontalo
549;Pegawai 1132;English;14/07/2019;BPK Perwakilan Provinsi Kalimantan Timur
550;Pegawai 294;English;28/11/2022;BPK Perwakilan Provinsi Bangka Belitung
551;Pegawai 1706;English;30/08/2020;BPK Perwakilan Provinsi Sulawesi Tengah
552;Pegawai 1835;English;02/06/2019;BPK Perwakilan Provinsi Jawa Barat
553;Pegawai 312;English;11/06/2021;BPK Perwakilan Provinsi DI Yogyakarta
554;Pegawai 1801;English;30/04/2021;BPK Perwakilan Provinsi Jawa Tengah
555;Pegawai 409;English;24/11/2021;BPK Perwakilan Provinsi Maluku
556;Pegawai 1823;English;01/12/2021;BPK Perwakilan Provinsi Sumatera Utara
557;Pegawai 1861;English;06/04/2020;BPK Perwakilan Provinsi Sulawesi Barat
558;Pegawai 1991;English;06/12/2021;BPK Perwakilan Provinsi Kalimantan Tengah
559;Pegawai 80;English;02/11/2019;BPK Perwakilan Provinsi Bali
560;Pegawai 354;English;05/11/2021;BPK Perwakilan Provinsi Maluku Utara
561;Pegawai 207;English;28/09/2022;BPK Perwakilan Provinsi Maluku
562;Pegawai 860;English;12/02/2021;BPK Perwakilan Provinsi DKI Jakarta
563;Pegawai 2;English;04/04/2022;BPK Perwakilan Provinsi Sulawesi Selatan
564;Pegawai 47;English;05/05/2022;BPK Perwakilan Provinsi Nusa Tenggara Timur
565;Pegawai 1799;English;16/09/2022;BPK Perwakilan Provinsi Maluku Utara
566;Pegawai 396;English;03/10/2021;BPK Perwakilan Provinsi Gorontalo
567;Pegawai 77;English;08/09/2022;BPK Perwakilan Provinsi Sulawesi Tengah
568;Pegawai 694;English;29/03/2021;BPK Perwakilan Provinsi Jambi
569;Pegawai 399;English;21/12/2019;BPK Perwakilan Provinsi Sulawesi Tengah
570;Pegawai 1131;English;25/05/2021;BPK Perwakilan Provinsi Maluku
571;Pegawai 1732;English;08/04/2019;BPK Perwakilan Provinsi Lampung
572;Pegawai 751;English;12/11/2022;BPK Perwakilan Provinsi Sumatera Barat
573;Pegawai 449;English;25/06/2019;BPK Perwakilan Provinsi Bali
574;Pegawai 1254;English;04/06/2021;BPK Perwakilan Provinsi Nusa Tenggara Barat
575;Pegawai 622;English;10/02/2021;BPK Perwakilan Provinsi Kalimantan Tengah
576;Pegawai 338;English;28/11/2021;BPK Perwakilan Provinsi Sulawesi Utara
577;Pegawai 670;English;29/01/2022;BPK Perwakilan Provinsi DKI Jakarta
578;Pegawai 1677;English;31/07/2019;BPK Perwakilan Provinsi Jambi
579;Pegawai 801;English;10/09/2022;BPK Perwakilan Provinsi Sulawesi Tengah
580;Pegawai 998;English;25/12/2021;BPK Perwakilan Provinsi Jawa Tengah
581;Pegawai 1039;English;10/09/2021;BPK Perwakilan Provinsi DKI Jakarta
582;Pegawai 1127;English;18/02/2020;BPK Perwakilan Provinsi Sulawesi Barat
583;Pegawai 796;English;08/09/2019;BPK Perwakilan Provinsi Gorontalo
584;Pegawai 373;English;23/09/2019;BPK Perwakilan Provinsi Bangka Belitung
585;Pegawai 1793;English;29/04/2020;BPK Perwakilan Provinsi Kepulauan Riau
586;Pegawai 731;English;18/05/2022;BPK Perwakilan Provinsi Jambi
587;Pegawai 1177;English;11/09/2020;BPK Perwakilan Provinsi Jawa Barat
588;Pegawai 1903;English;21/09/2020;BPK Perwakilan Provinsi Kepulauan Riau
589;Pegawai 255;English;28/02/2021;BPK Perwakilan Provinsi Sulawesi Tengah
590;Pegawai 1683;English;08/12/2021;BPK Perwakilan Provinsi Sumatera Selatan
591;Pegawai 571;English;23/11/2021;BPK Perwakilan Provinsi Kalimantan Barat
592;Pegawai 1295;English;12/01/2021;BPK Perwakilan Provinsi Sumatera Utara
593;Pegawai 1505;English;01/08/2020;BPK Perwakilan Provinsi Kalimantan Utara
594;Pegawai 534;English;17/06/2022;BPK Perwakilan Provinsi Sulawesi Tengah
595;Pegawai 1286;English;22/08/2020;BPK Perwakilan Provinsi Maluku
596;Pegawai 1760;English;31/08/2021;BPK Perwakilan Provinsi Papua Barat
597;Pegawai 1786;English;03/01/2021;BPK Perwakilan Provinsi Jambi
598;Pegawai 707;English;13/09/2021;BPK Perwakilan Provinsi Nusa Tenggara Timur
599;Pegawai 436;English;26/05/2021;BPK Perwakilan Provinsi Sulawesi Barat
600;Pegawai 1300;English;23/02/2022;BPK Perwakilan Provinsi Sulawesi Barat
601;Pegawai 1146;English;09/04/2020;BPK Perwakilan Provinsi Sulawesi Tengah
602;Pegawai 501;English;28/10/2019;BPK Perwakilan Provinsi Kalimantan Utara
603;Pegawai 1286;English;23/06/2021;BPK Perwakilan Provinsi Maluku
604;Pegawai 1954;English;20/01/2020;BPK Perwakilan Provinsi Aceh
605;Pegawai 105;English;08/05/2019;BPK Perwakilan Provinsi Kalimantan Tengah
606;Pegawai 1242;English;20/06/2021;BPK Perwakilan Provinsi Papua Barat
607;Pegawai 92;English;31/07/2021;BPK Perwakilan Provinsi Kalimantan Timur
608;Pegawai 1317;English;02/02/2019;BPK Perwakilan Provinsi DKI Jakarta
609;Pegawai 1179;English;29/05/2022;BPK Perwakilan Provinsi Jawa Tengah
610;Pegawai 1166;English;21/04/2020;BPK Perwakilan Provinsi Jawa Timur
611;Pegawai 880;English;05/08/2020;BPK Perwakilan Provinsi DI Yogyakarta
612;Pegawai 819;English;29/07/2020;BPK Perwakilan Provinsi Kalimantan Barat
613;Pegawai 1542;English;17/03/2020;BPK Perwakilan Provinsi Kalimantan Selatan
614;Pegawai 1729;English;04/11/2021;BPK Perwakilan Provinsi Sumatera Barat
615;Pegawai 407;English;24/10/2019;BPK Perwakilan Provinsi Sumatera Utara
616;Pegawai 814;English;17/11/2020;BPK Perwakilan Provinsi Kalimantan Utara
617;Pegawai 1871;English;03/05/2019;BPK Perwakilan Provinsi Sulawesi Tenggara
618;Pegawai 1;English;02/12/2021;BPK Perwakilan Provinsi Kalimantan Barat
619;Pegawai 1562;English;26/07/2021;BPK Perwakilan Provinsi Kalimantan Utara
620;Pegawai 1589;English;18/11/2020;BPK Perwakilan Provinsi Jawa Barat
621;Pegawai 1445;English;15/11/2021;BPK Perwakilan Provinsi Jawa Timur
622;Pegawai 1953;English;29/09/2022;BPK Perwakilan Provinsi Sumatera Utara
623;Pegawai 1697;English;02/06/2021;BPK Perwakilan Provinsi Nusa Tenggara Barat
624;Pegawai 908;English;24/05/2022;BPK Perwakilan Provinsi Bangka Belitung
625;Pegawai 410;English;14/09/2022;BPK Perwakilan Provinsi Maluku
626;Pegawai 3;English;21/01/2021;BPK Perwakilan Provinsi Jambi
627;Pegawai 1133;English;04/03/2022;BPK Perwakilan Provinsi Nusa Tenggara Timur
628;Pegawai 964;English;27/10/2021;BPK Perwakilan Provinsi Sulawesi Selatan
629;Pegawai 1454;English;21/07/2021;BPK Perwakilan Provinsi Sumatera Utara
630;Pegawai 1368;English;27/05/2020;BPK Perwakilan Provinsi Banten
631;Pegawai 651;English;25/10/2022;BPK Perwakilan Provinsi Kepulauan Riau
632;Pegawai 404;English;17/07/2019;BPK Perwakilan Provinsi Kalimantan Barat
633;Pegawai 1650;English;28/05/2022;BPK Perwakilan Provinsi Sulawesi Utara
634;Pegawai 596;English;12/05/2019;BPK Perwakilan Provinsi Riau
635;Pegawai 1071;English;14/03/2020;BPK Perwakilan Provinsi Nusa Tenggara Barat
636;Pegawai 1862;English;17/03/2019;BPK Perwakilan Provinsi Papua Barat
637;Pegawai 1251;English;05/11/2021;BPK Perwakilan Provinsi Riau
638;Pegawai 78;English;08/02/2020;BPK Perwakilan Provinsi Sulawesi Utara
639;Pegawai 1372;English;13/10/2020;BPK Perwakilan Provinsi Sumatera Selatan
640;Pegawai 1841;English;28/01/2022;BPK Perwakilan Provinsi Jawa Tengah
641;Pegawai 741;English;14/06/2020;BPK Perwakilan Provinsi Papua Barat
642;Pegawai 226;English;02/01/2022;BPK Perwakilan Provinsi Kalimantan Selatan
643;Pegawai 1119;English;04/07/2021;BPK Perwakilan Provinsi Sulawesi Selatan
644;Pegawai 637;English;17/07/2022;BPK Perwakilan Provinsi Jambi
645;Pegawai 479;English;19/03/2020;BPK Perwakilan Provinsi Nusa Tenggara Barat
646;Pegawai 357;English;03/03/2020;BPK Perwakilan Provinsi Gorontalo
647;Pegawai 1866;English;29/07/2021;BPK Perwakilan Provinsi Banten
648;Pegawai 260;English;21/09/2020;BPK Perwakilan Provinsi Jambi
649;Pegawai 385;English;25/05/2019;BPK Perwakilan Provinsi Riau
650;Pegawai 424;English;01/01/2020;BPK Perwakilan Provinsi Kalimantan Selatan
651;Pegawai 520;English;07/10/2019;BPK Perwakilan Provinsi Maluku Utara
652;Pegawai 503;English;02/09/2020;BPK Perwakilan Provinsi Sulawesi Tenggara
653;Pegawai 615;English;18/12/2022;BPK Perwakilan Provinsi Lampung
654;Pegawai 1251;English;19/03/2019;BPK Perwakilan Provinsi Riau
655;Pegawai 766;English;06/08/2022;BPK Perwakilan Provinsi Sulawesi Utara
656;Pegawai 291;English;22/03/2020;BPK Perwakilan Provinsi Kalimantan Timur
657;Pegawai 247;English;24/11/2019;BPK Perwakilan Provinsi Bali
658;Pegawai 1495;English;03/02/2022;BPK Perwakilan Provinsi Sulawesi Tengah
659;Pegawai 1115;English;28/08/2020;BPK Perwakilan Provinsi Riau
660;Pegawai 1596;English;25/03/2021;BPK Perwakilan Provinsi Sulawesi Utara
661;Pegawai 760;English;07/02/2021;BPK Perwakilan Provinsi Papua Barat
