tpa_id;pegawai_nama;tpa_nilai;tpa_tahun
;Pegawai 774;572;31/12/2021
;Pegawai 775;764;31/12/2021
;Pegawai 776;770;31/12/2021
;Pegawai 777;443;31/12/2021
;Pegawai 778;702;31/12/2021
;Pegawai 779;716;31/12/2021
;Pegawai 780;797;31/12/2021
;Pegawai 781;425;31/12/2021
;Pegawai 782;561;31/12/2021
;Pegawai 783;520;31/12/2021
;Pegawai 784;756;31/12/2021
;Pegawai 785;451;31/12/2021
;Pegawai 786;581;31/12/2021
;Pegawai 787;418;31/12/2021
;Pegawai 788;566;31/12/2021
;Pegawai 789;603;31/12/2021
;Pegawai 790;585;31/12/2021
;Pegawai 791;638;31/12/2021
;Pegawai 792;625;31/12/2021
;Pegawai 793;411;31/12/2021
;Pegawai 794;484;31/12/2021
;Pegawai 795;718;31/12/2021
;Pegawai 796;733;31/12/2021
;Pegawai 797;731;31/12/2021
;Pegawai 798;680;31/12/2021
;Pegawai 799;584;31/12/2021
;Pegawai 800;419;31/12/2021
;Pegawai 801;676;31/12/2021
;Pegawai 802;682;31/12/2021
;Pegawai 803;547;31/12/2021
;Pegawai 804;724;31/12/2021
;Pegawai 805;788;31/12/2021
;Pegawai 806;613;31/12/2021
;Pegawai 807;573;31/12/2021
;Pegawai 808;765;31/12/2021
;Pegawai 809;728;31/12/2021
;Pegawai 810;749;31/12/2021
;Pegawai 811;447;31/12/2021
;Pegawai 812;626;31/12/2021
;Pegawai 813;688;31/12/2021
;Pegawai 814;573;31/12/2021
;Pegawai 815;491;31/12/2021
;Pegawai 816;475;31/12/2021
;Pegawai 817;606;31/12/2021
;Pegawai 818;593;31/12/2021
;Pegawai 819;634;31/12/2021
;Pegawai 820;563;31/12/2021
;Pegawai 821;465;31/12/2021
;Pegawai 822;402;31/12/2021
;Pegawai 823;639;31/12/2021
;Pegawai 824;408;31/12/2021
;Pegawai 825;604;31/12/2021
;Pegawai 826;767;31/12/2021
;Pegawai 827;439;31/12/2021
;Pegawai 828;539;31/12/2021
;Pegawai 829;402;31/12/2021
;Pegawai 830;465;31/12/2021
;Pegawai 831;410;31/12/2021
;Pegawai 832;741;31/12/2021
;Pegawai 833;756;31/12/2021
;Pegawai 834;610;31/12/2021
;Pegawai 835;669;31/12/2021
;Pegawai 836;496;31/12/2021
;Pegawai 837;571;31/12/2021
;Pegawai 838;562;31/12/2021
;Pegawai 839;586;31/12/2021
;Pegawai 840;441;31/12/2021
;Pegawai 841;434;31/12/2021
;Pegawai 842;427;31/12/2021
;Pegawai 843;677;31/12/2021
;Pegawai 844;656;31/12/2021
;Pegawai 845;519;31/12/2021
;Pegawai 846;726;31/12/2021
;Pegawai 847;792;31/12/2021
;Pegawai 848;758;31/12/2021
;Pegawai 849;471;31/12/2021
;Pegawai 850;728;31/12/2021
;Pegawai 851;768;31/12/2021
;Pegawai 852;547;31/12/2021
;Pegawai 853;698;31/12/2021
;Pegawai 854;532;31/12/2021
;Pegawai 855;548;31/12/2021
;Pegawai 856;441;31/12/2021
;Pegawai 857;479;31/12/2021
;Pegawai 858;548;31/12/2021
;Pegawai 859;619;31/12/2021
;Pegawai 860;779;31/12/2021
;Pegawai 861;748;31/12/2021
;Pegawai 862;752;31/12/2021
;Pegawai 863;656;31/12/2021
;Pegawai 864;447;31/12/2021
;Pegawai 865;693;31/12/2021
;Pegawai 866;613;31/12/2021
;Pegawai 867;770;31/12/2021
;Pegawai 868;586;31/12/2021
;Pegawai 869;440;31/12/2021
;Pegawai 870;538;31/12/2021
;Pegawai 871;460;31/12/2021
;Pegawai 872;747;31/12/2021
;Pegawai 873;690;31/12/2021
;Pegawai 874;574;31/12/2021
;Pegawai 875;483;31/12/2021
;Pegawai 876;425;31/12/2021
;Pegawai 877;444;31/12/2021
;Pegawai 878;689;31/12/2021
;Pegawai 879;492;31/12/2021
;Pegawai 880;716;31/12/2021
;Pegawai 881;774;31/12/2021
;Pegawai 882;588;31/12/2021
;Pegawai 883;601;31/12/2021
;Pegawai 884;658;31/12/2021
;Pegawai 885;409;31/12/2021
;Pegawai 886;623;31/12/2021
;Pegawai 887;633;31/12/2021
;Pegawai 888;785;31/12/2021
;Pegawai 889;525;31/12/2021
;Pegawai 890;617;31/12/2021
;Pegawai 891;446;31/12/2021
;Pegawai 892;681;31/12/2021
;Pegawai 893;431;31/12/2021
;Pegawai 894;759;31/12/2021
;Pegawai 895;676;31/12/2021
;Pegawai 896;707;31/12/2021
;Pegawai 897;727;31/12/2021
;Pegawai 898;729;31/12/2021
;Pegawai 899;589;31/12/2021
;Pegawai 900;572;31/12/2021
;Pegawai 901;559;31/12/2021
;Pegawai 902;584;31/12/2021
;Pegawai 903;728;31/12/2021
;Pegawai 904;611;31/12/2021
;Pegawai 905;733;31/12/2021
;Pegawai 906;622;31/12/2021
;Pegawai 907;551;31/12/2021
;Pegawai 908;702;31/12/2021
;Pegawai 909;631;31/12/2021
;Pegawai 910;775;31/12/2021
;Pegawai 911;666;31/12/2021
;Pegawai 912;716;31/12/2021
;Pegawai 913;417;31/12/2021
;Pegawai 914;440;31/12/2021
;Pegawai 915;519;31/12/2021
;Pegawai 916;626;31/12/2021
;Pegawai 917;780;31/12/2021
;Pegawai 918;483;31/12/2021
;Pegawai 919;691;31/12/2021
;Pegawai 920;581;31/12/2021
;Pegawai 921;656;31/12/2021
;Pegawai 922;456;31/12/2021
;Pegawai 923;464;31/12/2021
;Pegawai 924;747;31/12/2021
;Pegawai 925;441;31/12/2021
;Pegawai 926;483;31/12/2021
;Pegawai 927;781;31/12/2021
;Pegawai 928;586;31/12/2021
;Pegawai 929;751;31/12/2021
;Pegawai 930;561;31/12/2021
;Pegawai 931;709;31/12/2021
;Pegawai 932;608;31/12/2021
;Pegawai 933;404;31/12/2021
;Pegawai 934;612;31/12/2021
;Pegawai 935;505;31/12/2021
;Pegawai 936;545;31/12/2021
;Pegawai 937;435;31/12/2021
;Pegawai 938;481;31/12/2021
;Pegawai 939;545;31/12/2021
;Pegawai 940;663;31/12/2021
;Pegawai 941;684;31/12/2021
;Pegawai 942;502;31/12/2021
;Pegawai 943;582;31/12/2021
;Pegawai 944;445;31/12/2021
;Pegawai 945;622;31/12/2021
;Pegawai 946;618;31/12/2021
;Pegawai 947;505;31/12/2021
;Pegawai 948;409;31/12/2021
;Pegawai 949;746;31/12/2021
;Pegawai 950;781;31/12/2021
;Pegawai 951;717;31/12/2021
;Pegawai 952;794;31/12/2021
;Pegawai 953;441;31/12/2021
;Pegawai 954;727;31/12/2021
;Pegawai 955;487;31/12/2021
;Pegawai 956;555;31/12/2021
;Pegawai 957;748;31/12/2021
;Pegawai 958;592;31/12/2021
;Pegawai 959;450;31/12/2021
;Pegawai 960;485;31/12/2021
;Pegawai 961;448;31/12/2021
;Pegawai 962;760;31/12/2021
;Pegawai 963;538;31/12/2021
;Pegawai 964;535;31/12/2021
;Pegawai 965;474;31/12/2021
;Pegawai 966;476;31/12/2021
;Pegawai 967;730;31/12/2021
;Pegawai 968;469;31/12/2021
;Pegawai 969;750;31/12/2021
;Pegawai 970;448;31/12/2021
;Pegawai 971;790;31/12/2021
;Pegawai 972;468;31/12/2021
;Pegawai 973;695;31/12/2021
;Pegawai 974;430;31/12/2021
;Pegawai 975;697;31/12/2021
;Pegawai 976;689;31/12/2021
;Pegawai 977;521;31/12/2021
;Pegawai 978;431;31/12/2021
;Pegawai 979;715;31/12/2021
;Pegawai 980;737;31/12/2021
;Pegawai 981;716;31/12/2021
;Pegawai 982;695;31/12/2021
;Pegawai 983;636;31/12/2021
;Pegawai 984;475;31/12/2021
;Pegawai 985;537;31/12/2021
;Pegawai 986;754;31/12/2021
;Pegawai 987;434;31/12/2021
;Pegawai 988;420;31/12/2021
;Pegawai 989;541;31/12/2021
;Pegawai 990;414;31/12/2021
;Pegawai 991;479;31/12/2021
;Pegawai 992;742;31/12/2021
;Pegawai 993;752;31/12/2021
;Pegawai 994;732;31/12/2021
;Pegawai 995;712;31/12/2021
;Pegawai 996;784;31/12/2021
;Pegawai 997;698;31/12/2021
;Pegawai 998;704;31/12/2021
;Pegawai 999;720;31/12/2021
;Pegawai 1000;483;31/12/2021
;Pegawai 1001;700;31/12/2021
;Pegawai 1002;440;31/12/2021
;Pegawai 1003;680;31/12/2021
;Pegawai 1004;580;31/12/2021
;Pegawai 1005;549;31/12/2021
;Pegawai 1006;431;31/12/2021
;Pegawai 1007;441;31/12/2021
;Pegawai 1008;618;31/12/2021
;Pegawai 1009;621;31/12/2021
;Pegawai 1010;594;31/12/2021
;Pegawai 1011;750;31/12/2021
;Pegawai 1012;672;31/12/2021
;Pegawai 1013;687;31/12/2021
;Pegawai 1014;489;31/12/2021
;Pegawai 1015;600;31/12/2021
;Pegawai 1016;719;31/12/2021
;Pegawai 1017;784;31/12/2021
;Pegawai 1018;476;31/12/2021
;Pegawai 1019;659;31/12/2021
;Pegawai 1020;644;31/12/2021
;Pegawai 1021;527;31/12/2021
;Pegawai 1022;611;31/12/2021
;Pegawai 1023;600;31/12/2021
;Pegawai 1024;424;31/12/2021
;Pegawai 1025;413;31/12/2021
;Pegawai 1026;545;31/12/2021
;Pegawai 1027;529;31/12/2021
;Pegawai 1028;402;31/12/2021
;Pegawai 1029;693;31/12/2021
;Pegawai 1030;713;31/12/2021
;Pegawai 1031;709;31/12/2021
;Pegawai 1032;586;31/12/2021
;Pegawai 1033;649;31/12/2021
;Pegawai 1034;611;31/12/2021
;Pegawai 1035;734;31/12/2021
;Pegawai 1036;638;31/12/2021
;Pegawai 1037;562;31/12/2021
;Pegawai 1038;539;31/12/2021
;Pegawai 1039;793;31/12/2021
;Pegawai 1040;508;31/12/2021
;Pegawai 1041;558;31/12/2021
;Pegawai 1042;622;31/12/2021
;Pegawai 1043;654;31/12/2021
;Pegawai 1044;540;31/12/2021
;Pegawai 1045;730;31/12/2021
;Pegawai 1046;621;31/12/2021
;Pegawai 1047;682;31/12/2021
;Pegawai 1048;741;31/12/2021
;Pegawai 1049;756;31/12/2021
;Pegawai 1050;450;31/12/2021
;Pegawai 1051;460;31/12/2021
;Pegawai 1052;489;31/12/2021
;Pegawai 1053;609;31/12/2021
;Pegawai 1054;599;31/12/2021
;Pegawai 1055;416;31/12/2021
;Pegawai 1056;710;31/12/2021
;Pegawai 1057;625;31/12/2021
;Pegawai 1058;543;31/12/2021
;Pegawai 1059;492;31/12/2021
;Pegawai 1060;752;31/12/2021
;Pegawai 1061;657;31/12/2021
;Pegawai 1062;785;31/12/2021
;Pegawai 1063;676;31/12/2021
;Pegawai 1064;422;31/12/2021
;Pegawai 1065;558;31/12/2021
;Pegawai 1066;547;31/12/2021
;Pegawai 1067;494;31/12/2021
;Pegawai 1068;633;31/12/2021
;Pegawai 1069;775;31/12/2021
;Pegawai 1070;502;31/12/2021
;Pegawai 1071;696;31/12/2021
;Pegawai 1072;446;31/12/2021
;Pegawai 1073;615;31/12/2021
;Pegawai 1074;539;31/12/2021
;Pegawai 1075;578;31/12/2021
;Pegawai 1076;756;31/12/2021
;Pegawai 1077;671;31/12/2021
;Pegawai 1078;732;31/12/2021
;Pegawai 1079;779;31/12/2021
;Pegawai 1080;735;31/12/2021
;Pegawai 1081;521;31/12/2021
;Pegawai 1082;431;31/12/2021
;Pegawai 1083;417;31/12/2021
;Pegawai 1084;452;31/12/2021
;Pegawai 1085;798;31/12/2021
;Pegawai 1086;685;31/12/2021
;Pegawai 1087;497;31/12/2021
;Pegawai 1088;419;31/12/2021
;Pegawai 1089;748;31/12/2021
;Pegawai 1090;669;31/12/2021
;Pegawai 1091;715;31/12/2021
;Pegawai 1092;626;31/12/2021
;Pegawai 1093;696;31/12/2021
;Pegawai 1094;462;31/12/2021
;Pegawai 1095;673;31/12/2021
;Pegawai 1096;503;31/12/2021
;Pegawai 1097;564;31/12/2021
;Pegawai 1098;556;31/12/2021
;Pegawai 1099;672;31/12/2021
;Pegawai 1100;741;31/12/2021
;Pegawai 1101;691;31/12/2021
;Pegawai 1102;594;31/12/2021
;Pegawai 1103;534;31/12/2021
;Pegawai 1104;610;31/12/2021
;Pegawai 1105;549;31/12/2021
;Pegawai 1106;717;31/12/2021
;Pegawai 1107;473;31/12/2021
;Pegawai 1108;743;31/12/2021
;Pegawai 1109;579;31/12/2021
;Pegawai 1110;569;31/12/2021
;Pegawai 1111;695;31/12/2021
;Pegawai 1112;421;31/12/2021
;Pegawai 1113;674;31/12/2021
;Pegawai 1114;512;31/12/2021
;Pegawai 1115;696;31/12/2021
;Pegawai 1116;718;31/12/2021
;Pegawai 1117;565;31/12/2021
;Pegawai 1118;402;31/12/2021
;Pegawai 1119;438;31/12/2021
;Pegawai 1120;524;31/12/2021
;Pegawai 1121;465;31/12/2021
;Pegawai 1122;621;31/12/2021
;Pegawai 1123;678;31/12/2021
;Pegawai 1124;490;31/12/2021
;Pegawai 1125;497;31/12/2021
;Pegawai 1126;449;31/12/2021
;Pegawai 1127;438;31/12/2021
;Pegawai 1128;569;31/12/2021
;Pegawai 1129;692;31/12/2021
;Pegawai 1130;699;31/12/2021
;Pegawai 1131;478;31/12/2021
;Pegawai 1132;671;31/12/2021
;Pegawai 1133;607;31/12/2021
;Pegawai 1134;739;31/12/2021
;Pegawai 1135;449;31/12/2021
;Pegawai 1136;433;31/12/2021
;Pegawai 1137;466;31/12/2021
;Pegawai 1138;684;31/12/2021
;Pegawai 1139;585;31/12/2021
;Pegawai 1140;668;31/12/2021
;Pegawai 1141;589;31/12/2021
;Pegawai 1142;524;31/12/2021
;Pegawai 1143;797;31/12/2021
;Pegawai 1144;703;31/12/2021
;Pegawai 1145;716;31/12/2021
;Pegawai 1146;637;31/12/2021
;Pegawai 1147;704;31/12/2021
;Pegawai 1148;461;31/12/2021
;Pegawai 1149;602;31/12/2021
;Pegawai 1150;786;31/12/2021
;Pegawai 1151;638;31/12/2021
;Pegawai 1152;666;31/12/2021
;Pegawai 1153;532;31/12/2021
;Pegawai 1154;737;31/12/2021
;Pegawai 1155;540;31/12/2021
;Pegawai 1156;678;31/12/2021
;Pegawai 1157;778;31/12/2021
;Pegawai 1158;424;31/12/2021
;Pegawai 1159;499;31/12/2021
;Pegawai 1160;674;31/12/2021
;Pegawai 1161;666;31/12/2021
;Pegawai 1162;492;31/12/2021
;Pegawai 1163;785;31/12/2021
;Pegawai 1164;629;31/12/2021
;Pegawai 1165;501;31/12/2021
;Pegawai 1166;491;31/12/2021
;Pegawai 1167;706;31/12/2021
;Pegawai 1168;799;31/12/2021
;Pegawai 1169;401;31/12/2021
;Pegawai 1170;688;31/12/2021
;Pegawai 1171;486;31/12/2021
;Pegawai 1172;681;31/12/2021
;Pegawai 1173;454;31/12/2021
;Pegawai 1174;638;31/12/2021
;Pegawai 1175;556;31/12/2021
;Pegawai 1176;421;31/12/2021
;Pegawai 1177;663;31/12/2021
;Pegawai 1178;495;31/12/2021
;Pegawai 1179;503;31/12/2021
;Pegawai 1180;667;31/12/2021
;Pegawai 1181;565;31/12/2021
;Pegawai 1182;637;31/12/2021
;Pegawai 1183;667;31/12/2021
;Pegawai 1184;680;31/12/2021
;Pegawai 1185;471;31/12/2021
;Pegawai 1186;418;31/12/2021
;Pegawai 1187;512;31/12/2021
;Pegawai 1188;757;31/12/2021
;Pegawai 1189;517;31/12/2021
;Pegawai 1190;753;31/12/2021
;Pegawai 1191;698;31/12/2021
;Pegawai 1192;489;31/12/2021
;Pegawai 1193;446;31/12/2021
;Pegawai 1194;460;31/12/2021
;Pegawai 1195;540;31/12/2021
;Pegawai 1196;615;31/12/2021
;Pegawai 1197;721;31/12/2021
;Pegawai 1198;607;31/12/2021
;Pegawai 1199;450;31/12/2021
;Pegawai 1200;441;31/12/2021
;Pegawai 1201;455;31/12/2021
;Pegawai 1202;764;31/12/2021
;Pegawai 1203;771;31/12/2021
;Pegawai 1204;594;31/12/2021
;Pegawai 1205;755;31/12/2021
;Pegawai 1206;795;31/12/2021
;Pegawai 1207;494;31/12/2021
;Pegawai 1208;435;31/12/2021
;Pegawai 1209;625;31/12/2021
;Pegawai 1210;480;31/12/2021
;Pegawai 1211;527;31/12/2021
;Pegawai 1212;568;31/12/2021
;Pegawai 1213;669;31/12/2021
;Pegawai 1214;617;31/12/2021
;Pegawai 1215;711;31/12/2021
;Pegawai 1216;516;31/12/2021
;Pegawai 1217;547;31/12/2021
;Pegawai 1218;648;31/12/2021
;Pegawai 1219;410;31/12/2021
;Pegawai 1220;680;31/12/2021
;Pegawai 1221;717;31/12/2021
;Pegawai 1222;435;31/12/2021
;Pegawai 1223;492;31/12/2021
;Pegawai 1224;738;31/12/2021
;Pegawai 1225;447;31/12/2021
;Pegawai 1226;401;31/12/2021
;Pegawai 1227;455;31/12/2021
;Pegawai 1228;702;31/12/2021
;Pegawai 1229;733;31/12/2021
;Pegawai 1230;519;31/12/2021
;Pegawai 1231;737;31/12/2021
;Pegawai 1232;464;31/12/2021
;Pegawai 1233;763;31/12/2021
;Pegawai 1234;571;31/12/2021
;Pegawai 1235;540;31/12/2021
;Pegawai 1236;445;31/12/2021
;Pegawai 1237;717;31/12/2021
;Pegawai 1238;556;31/12/2021
;Pegawai 1239;440;31/12/2021
;Pegawai 1240;427;31/12/2021
;Pegawai 1241;796;31/12/2021
;Pegawai 1242;444;31/12/2021
;Pegawai 1243;654;31/12/2021
;Pegawai 1244;721;31/12/2021
;Pegawai 1245;550;31/12/2021
;Pegawai 1246;743;31/12/2021
;Pegawai 1247;451;31/12/2021
;Pegawai 1248;551;31/12/2021
;Pegawai 1249;698;31/12/2021
;Pegawai 1250;541;31/12/2021
;Pegawai 1251;405;31/12/2021
;Pegawai 1252;550;31/12/2021
;Pegawai 1253;661;31/12/2021
;Pegawai 1254;415;31/12/2021
;Pegawai 1255;424;31/12/2021
;Pegawai 1256;763;31/12/2021
;Pegawai 1257;478;31/12/2021
;Pegawai 1258;757;31/12/2021
;Pegawai 1259;522;31/12/2021
;Pegawai 1260;467;31/12/2021
;Pegawai 1261;551;31/12/2021
;Pegawai 1262;721;31/12/2021
;Pegawai 1263;404;31/12/2021
;Pegawai 1264;506;31/12/2021
;Pegawai 1265;713;31/12/2021
;Pegawai 1266;518;31/12/2021
;Pegawai 1267;594;31/12/2021
;Pegawai 1268;438;31/12/2021
;Pegawai 1269;515;31/12/2021
;Pegawai 1270;420;31/12/2021
;Pegawai 1271;644;31/12/2021
;Pegawai 1272;476;31/12/2021
;Pegawai 1273;544;31/12/2021
;Pegawai 1274;629;31/12/2021
;Pegawai 1275;624;31/12/2021
;Pegawai 1276;686;31/12/2021
;Pegawai 1277;420;31/12/2021
;Pegawai 1278;652;31/12/2021
;Pegawai 1279;662;31/12/2021
;Pegawai 1280;603;31/12/2021
;Pegawai 1281;737;31/12/2021
;Pegawai 1282;711;31/12/2021
;Pegawai 1283;617;31/12/2021
;Pegawai 1284;760;31/12/2021
;Pegawai 1285;473;31/12/2021
;Pegawai 1286;474;31/12/2021
;Pegawai 1287;788;31/12/2021
;Pegawai 1288;730;31/12/2021
;Pegawai 1289;669;31/12/2021
;Pegawai 1290;800;31/12/2021
;Pegawai 1291;658;31/12/2021
;Pegawai 1292;728;31/12/2021
;Pegawai 1293;784;31/12/2021
;Pegawai 1294;481;31/12/2021
;Pegawai 1295;576;31/12/2021
;Pegawai 1296;472;31/12/2021
;Pegawai 1297;699;31/12/2021
;Pegawai 1298;587;31/12/2021
;Pegawai 1299;744;31/12/2021
;Pegawai 1300;526;31/12/2021
;Pegawai 1301;741;31/12/2021
;Pegawai 1302;552;31/12/2021
;Pegawai 1303;422;31/12/2021
;Pegawai 1304;687;31/12/2021
;Pegawai 1305;715;31/12/2021
;Pegawai 1306;792;31/12/2021
;Pegawai 1307;607;31/12/2021
;Pegawai 1308;495;31/12/2021
;Pegawai 1309;418;31/12/2021
;Pegawai 1310;621;31/12/2021
;Pegawai 1311;771;31/12/2021
;Pegawai 1312;463;31/12/2021
;Pegawai 1313;656;31/12/2021
;Pegawai 1314;564;31/12/2021
;Pegawai 1315;665;31/12/2021
;Pegawai 1316;555;31/12/2021
;Pegawai 1317;753;31/12/2021
;Pegawai 1318;683;31/12/2021
;Pegawai 1319;560;31/12/2021
;Pegawai 1320;744;31/12/2021
;Pegawai 1321;649;31/12/2021
;Pegawai 1322;655;31/12/2021
;Pegawai 1323;591;31/12/2021
;Pegawai 1324;448;31/12/2021
;Pegawai 1325;787;31/12/2021
;Pegawai 1326;581;31/12/2021
;Pegawai 1327;722;31/12/2021
;Pegawai 1328;663;31/12/2021
;Pegawai 1329;584;31/12/2021
;Pegawai 1330;427;31/12/2021
;Pegawai 1331;431;31/12/2021
;Pegawai 1332;506;31/12/2021
;Pegawai 1333;671;31/12/2021
;Pegawai 1334;771;31/12/2021
;Pegawai 1335;675;31/12/2021
;Pegawai 1336;565;31/12/2021
;Pegawai 1337;503;31/12/2021
;Pegawai 1338;660;31/12/2021
;Pegawai 1339;778;31/12/2021
;Pegawai 1340;451;31/12/2021
;Pegawai 1341;793;31/12/2021
;Pegawai 1342;644;31/12/2021
;Pegawai 1343;576;31/12/2021
;Pegawai 1344;433;31/12/2021
;Pegawai 1345;453;31/12/2021
;Pegawai 1346;407;31/12/2021
;Pegawai 1347;621;31/12/2021
;Pegawai 1348;742;31/12/2021
;Pegawai 1349;597;31/12/2021
;Pegawai 1350;454;31/12/2021
;Pegawai 1351;701;31/12/2021
;Pegawai 1352;753;31/12/2021
;Pegawai 1353;568;31/12/2021
;Pegawai 1354;630;31/12/2021
;Pegawai 1355;410;31/12/2021
;Pegawai 1356;774;31/12/2021
;Pegawai 1357;536;31/12/2021
;Pegawai 1358;433;31/12/2021
;Pegawai 1359;456;31/12/2021
;Pegawai 1360;686;31/12/2021
;Pegawai 1361;776;31/12/2021
;Pegawai 1362;456;31/12/2021
;Pegawai 1363;611;31/12/2021
;Pegawai 1364;715;31/12/2021
;Pegawai 1365;478;31/12/2021
;Pegawai 1366;474;31/12/2021
;Pegawai 1367;647;31/12/2021
;Pegawai 1368;656;31/12/2021
;Pegawai 1369;465;31/12/2021
;Pegawai 1370;768;31/12/2021
;Pegawai 1371;493;31/12/2021
;Pegawai 1372;680;31/12/2021
;Pegawai 1373;473;31/12/2021
;Pegawai 1374;498;31/12/2021
;Pegawai 1375;786;31/12/2021
;Pegawai 1376;491;31/12/2021
;Pegawai 1377;628;31/12/2021
;Pegawai 1378;733;31/12/2021
;Pegawai 1379;468;31/12/2021
;Pegawai 1380;431;31/12/2021
;Pegawai 1381;685;31/12/2021
;Pegawai 1382;711;31/12/2021
;Pegawai 1383;501;31/12/2021
;Pegawai 1384;535;31/12/2021
;Pegawai 1385;462;31/12/2021
;Pegawai 1386;427;31/12/2021
;Pegawai 1387;666;31/12/2021
;Pegawai 1388;454;31/12/2021
;Pegawai 1389;792;31/12/2021
;Pegawai 1390;563;31/12/2021
;Pegawai 1391;491;31/12/2021
;Pegawai 1392;776;31/12/2021
;Pegawai 1393;517;31/12/2021
;Pegawai 1394;457;31/12/2021
;Pegawai 1395;732;31/12/2021
;Pegawai 1396;587;31/12/2021
;Pegawai 1397;430;31/12/2021
;Pegawai 1398;540;31/12/2021
;Pegawai 1399;471;31/12/2021
;Pegawai 1400;609;31/12/2021
;Pegawai 1401;740;31/12/2021
;Pegawai 1402;711;31/12/2021
;Pegawai 1403;651;31/12/2021
;Pegawai 1404;402;31/12/2021
;Pegawai 1405;672;31/12/2021
;Pegawai 1406;641;31/12/2021
;Pegawai 1407;581;31/12/2021
;Pegawai 1408;627;31/12/2021
;Pegawai 1409;589;31/12/2021
;Pegawai 1410;706;31/12/2021
;Pegawai 1411;783;31/12/2021
;Pegawai 1412;425;31/12/2021
;Pegawai 1413;617;31/12/2021
;Pegawai 1414;600;31/12/2021
;Pegawai 1415;662;31/12/2021
;Pegawai 1416;453;31/12/2021
;Pegawai 1417;774;31/12/2021
;Pegawai 1418;512;31/12/2021
;Pegawai 1419;510;31/12/2021
;Pegawai 1420;415;31/12/2021
;Pegawai 1421;679;31/12/2021
;Pegawai 1422;402;31/12/2021
;Pegawai 1423;655;31/12/2021
;Pegawai 1424;793;31/12/2021
;Pegawai 1425;436;31/12/2021
;Pegawai 1426;479;31/12/2021
;Pegawai 1427;725;31/12/2021
;Pegawai 1428;416;31/12/2021
;Pegawai 1429;644;31/12/2021
;Pegawai 1430;411;31/12/2021
;Pegawai 1431;639;31/12/2021
;Pegawai 1432;472;31/12/2021
;Pegawai 1433;642;31/12/2021
;Pegawai 1434;781;31/12/2021
;Pegawai 1435;630;31/12/2021
;Pegawai 1436;648;31/12/2021
;Pegawai 1437;433;31/12/2021
;Pegawai 1438;678;31/12/2021
;Pegawai 1439;572;31/12/2021
;Pegawai 1440;520;31/12/2021
;Pegawai 1441;659;31/12/2021
;Pegawai 1442;487;31/12/2021
;Pegawai 1443;508;31/12/2021
;Pegawai 1444;606;31/12/2021
;Pegawai 1445;484;31/12/2021
;Pegawai 1446;539;31/12/2021
;Pegawai 1447;453;31/12/2021
;Pegawai 1448;647;31/12/2021
;Pegawai 1449;591;31/12/2021
;Pegawai 1450;793;31/12/2021
;Pegawai 1451;758;31/12/2021
;Pegawai 1452;716;31/12/2021
;Pegawai 1453;486;31/12/2021
;Pegawai 1454;662;31/12/2021
;Pegawai 1455;525;31/12/2021
;Pegawai 1456;488;31/12/2021
;Pegawai 1457;539;31/12/2021
;Pegawai 1458;439;31/12/2021
;Pegawai 1459;773;31/12/2021
;Pegawai 1460;680;31/12/2021
;Pegawai 1461;486;31/12/2021
;Pegawai 1462;631;31/12/2021
;Pegawai 1463;691;31/12/2021
;Pegawai 1464;648;31/12/2021
;Pegawai 1465;488;31/12/2021
;Pegawai 1466;681;31/12/2021
;Pegawai 1467;658;31/12/2021
;Pegawai 1468;650;31/12/2021
;Pegawai 1469;676;31/12/2021
;Pegawai 1470;743;31/12/2021
;Pegawai 1471;571;31/12/2021
;Pegawai 1472;688;31/12/2021
;Pegawai 1473;502;31/12/2021
;Pegawai 1474;666;31/12/2021
;Pegawai 1475;627;31/12/2021
;Pegawai 1476;449;31/12/2021
;Pegawai 1477;474;31/12/2021
;Pegawai 1478;796;31/12/2021
;Pegawai 1479;483;31/12/2021
;Pegawai 1480;785;31/12/2021
;Pegawai 1481;438;31/12/2021
;Pegawai 1482;420;31/12/2021
;Pegawai 1483;745;31/12/2021
;Pegawai 1484;639;31/12/2021
;Pegawai 1485;431;31/12/2021
;Pegawai 1486;553;31/12/2021
;Pegawai 1487;402;31/12/2021
;Pegawai 1488;744;31/12/2021
;Pegawai 1489;673;31/12/2021
;Pegawai 1490;409;31/12/2021
;Pegawai 1491;760;31/12/2021
;Pegawai 1492;693;31/12/2021
;Pegawai 1493;675;31/12/2021
;Pegawai 1494;529;31/12/2021
;Pegawai 1495;422;31/12/2021
;Pegawai 1496;618;31/12/2021
;Pegawai 1497;726;31/12/2021
;Pegawai 1498;768;31/12/2021
;Pegawai 1499;602;31/12/2021
;Pegawai 1500;623;31/12/2021
;Pegawai 1501;472;31/12/2021
;Pegawai 1502;493;31/12/2021
;Pegawai 1503;462;31/12/2021
;Pegawai 1504;442;31/12/2021
;Pegawai 1505;769;31/12/2021
;Pegawai 1506;692;31/12/2021
;Pegawai 1507;594;31/12/2021
;Pegawai 1508;463;31/12/2021
;Pegawai 1509;620;31/12/2021
;Pegawai 1510;632;31/12/2021
;Pegawai 1511;676;31/12/2021
;Pegawai 1512;581;31/12/2021
;Pegawai 1513;486;31/12/2021
;Pegawai 1514;500;31/12/2021
;Pegawai 1515;752;31/12/2021
;Pegawai 1516;463;31/12/2021
;Pegawai 1517;401;31/12/2021
;Pegawai 1518;540;31/12/2021
;Pegawai 1519;587;31/12/2021
;Pegawai 1520;772;31/12/2021
