pegawai_id;pegawai_nama;pegawai_pendidikan;jabatan_nama;perwakilan;usia;tgl_masuk;tgl_keluar;;;
468;Pegawai 467;S2;Pranata Komputer Terampil ;BPK Perwakilan Provinsi Banten;41;17/04/2019;-;;;
469;Pegawai 468;S1;Pemeriksa Utama;BPK Perwakilan Provinsi Jawa Tengah;31;23/01/2021;-;;;
470;Pegawai 469;S1;Pranata Komputer Pertama ;BPK Perwakilan Provinsi Sulawesi Selatan;58;27/08/2018;27/08/2022;;;
471;Pegawai 470;S1;Pemeriksa Pertama;BPK Perwakilan Provinsi Kepulauan Riau;28;05/06/2019;-;;;
472;Pegawai 471;S2;Pranata Komputer Pertama ;BPK Perwakilan Provinsi Kalimantan Tengah;54;25/04/2021;-;;;
473;Pegawai 472;S1;Pranata Keuangan APBN Terampil ;BPK Perwakilan Provinsi Sulawesi Utara;27;30/11/2019;-;;;
474;Pegawai 473;S2;Analis Kepegawaian Pertama ;BPK Perwakilan Provinsi Jawa Tengah;51;12/04/2020;-;;;
475;Pegawai 474;D4;Arsiparis Muda ;BPK Perwakilan Provinsi Bangka Belitung;43;29/08/2021;-;;;
476;Pegawai 475;S1;Pranata Keuangan APBN Penyelia ;BPK Perwakilan Provinsi Sulawesi Utara;23;17/01/2020;-;;;
477;Pegawai 476;S2;Analis Pengelolaan Keuangan APBN Pertama ;BPK Perwakilan Provinsi Sulawesi Tengah;51;31/10/2021;-;;;
478;Pegawai 477;S2;Pemeriksa Pertama;BPK Perwakilan Provinsi Gorontalo;44;06/05/2019;-;;;
479;Pegawai 478;D4;Pranata Komputer Pertama ;BPK Perwakilan Provinsi Kalimantan Timur;30;19/02/2022;-;;;
480;Pegawai 479;S2;Analis Kepegawaian Muda ;BPK Perwakilan Provinsi Nusa Tenggara Barat;58;24/10/2021;-;;;
481;Pegawai 480;D4;Pranata Komputer Terampil ;BPK Perwakilan Provinsi Sumatera Utara;37;03/05/2021;-;;;
482;Pegawai 481;S2;Analis Kepegawaian Pertama ;BPK Perwakilan Provinsi Kalimantan Utara;24;26/02/2022;-;;;
483;Pegawai 482;S1;Analis Kepegawaian Pertama ;BPK Perwakilan Provinsi Sulawesi Utara;58;29/11/2018;29/11/2022;;;
484;Pegawai 483;S2;Pemeriksa Pertama;BPK Perwakilan Provinsi Jawa Barat;41;16/11/2021;-;;;
485;Pegawai 484;S2;Pranata Komputer Pertama ;BPK Perwakilan Provinsi Sumatera Barat;51;25/03/2018;25/03/2022;;;
486;Pegawai 485;S1;Pranata Keuangan APBN Mahir ;BPK Perwakilan Provinsi Bangka Belitung;39;10/11/2021;-;;;
487;Pegawai 486;S1;Pranata Komputer Pertama ;BPK Perwakilan Provinsi Sumatera Utara;22;09/11/2018;09/11/2022;;;
488;Pegawai 487;S1;Pranata Keuangan APBN Penyelia ;BPK Perwakilan Provinsi Sumatera Utara;21;28/03/2020;-;;;
489;Pegawai 488;S1;Pranata Keuangan APBN Mahir ;BPK Perwakilan Provinsi Papua Barat;31;06/07/2022;-;;;
490;Pegawai 489;D4;Pranata Komputer Pertama ;BPK Perwakilan Provinsi Kalimantan Selatan;44;07/06/2019;-;;;
491;Pegawai 490;S1;Pemeriksa Utama;BPK Perwakilan Provinsi Jawa Timur;54;31/01/2021;-;;;
492;Pegawai 491;S1;Analis Pengelolaan Keuangan APBN Pertama ;BPK Perwakilan Provinsi Kalimantan Selatan;37;11/06/2021;-;;;
493;Pegawai 492;S1;Analis Kepegawaian Pertama ;BPK Perwakilan Provinsi Papua;29;27/05/2022;-;;;
494;Pegawai 493;S2;Pranata Komputer Pertama ;BPK Perwakilan Provinsi Kalimantan Tengah;31;06/04/2021;-;;;
495;Pegawai 494;D4;Pranata Keuangan APBN Mahir ;BPK Perwakilan Provinsi Kalimantan Utara;34;07/12/2018;07/12/2022;;;
496;Pegawai 495;S1;Analis Pengelolaan Keuangan APBN Pertama ;BPK Perwakilan Provinsi Kalimantan Selatan;21;23/12/2021;-;;;
497;Pegawai 496;S2;Pranata Keuangan APBN Penyelia ;BPK Perwakilan Provinsi Nusa Tenggara Barat;32;20/01/2018;20/01/2022;;;
498;Pegawai 497;S1;Pemeriksa Madya;BPK Perwakilan Provinsi Sumatera Selatan;52;08/04/2021;-;;;
499;Pegawai 498;S1;Pranata Keuangan APBN Mahir ;BPK Perwakilan Provinsi Nusa Tenggara Barat;53;30/12/2018;-;;;
500;Pegawai 499;D4;Analis Kepegawaian Pertama ;BPK Perwakilan Provinsi Bangka Belitung;21;11/07/2018;11/07/2022;;;
501;Pegawai 500;D4;Pranata Keuangan APBN Terampil ;BPK Perwakilan Provinsi Kalimantan Barat;58;15/04/2021;-;;;
502;Pegawai 501;S2;Analis Pengelolaan Keuangan APBN Muda ;BPK Perwakilan Provinsi Kalimantan Utara;44;10/02/2021;-;;;
503;Pegawai 502;S2;Analis Pengelolaan Keuangan APBN Pertama ;BPK Perwakilan Provinsi Aceh;42;11/09/2019;-;;;
504;Pegawai 503;D4;Analis Pengelolaan Keuangan APBN Muda ;BPK Perwakilan Provinsi Sulawesi Tenggara;36;04/11/2018;04/11/2022;;;
505;Pegawai 504;D4;Pranata Komputer Pertama ;BPK Perwakilan Provinsi DI Yogyakarta;31;23/06/2018;23/06/2022;;;
506;Pegawai 505;D4;Analis Kepegawaian Muda ;BPK Perwakilan Provinsi Kalimantan Utara;31;05/05/2018;05/05/2022;;;
507;Pegawai 506;D4;Pranata Komputer Pertama ;BPK Perwakilan Provinsi Riau;48;01/09/2018;01/09/2022;;;
508;Pegawai 507;S2;Pemeriksa Madya;BPK Perwakilan Provinsi Bengkulu;45;20/12/2020;-;;;
509;Pegawai 508;S1;Pranata Keuangan APBN Mahir ;BPK Perwakilan Provinsi Nusa Tenggara Timur;21;24/03/2021;-;;;
510;Pegawai 509;S1;Pranata Komputer Pertama ;BPK Perwakilan Provinsi DKI Jakarta;42;08/12/2019;-;;;
511;Pegawai 510;S2;Pranata Keuangan APBN Terampil ;BPK Perwakilan Provinsi Sulawesi Tenggara;32;19/02/2022;-;;;
512;Pegawai 511;S1;Pemeriksa Utama;BPK Perwakilan Provinsi Kalimantan Barat;50;26/04/2021;-;;;
513;Pegawai 512;S1;Pranata Keuangan APBN Penyelia ;BPK Perwakilan Provinsi Bengkulu;25;21/06/2021;-;;;
514;Pegawai 513;S2;Pemeriksa Utama;BPK Perwakilan Provinsi Papua;29;24/01/2018;24/01/2022;;;
515;Pegawai 514;S1;Arsiparis Muda ;BPK Perwakilan Provinsi Sumatera Selatan;22;21/12/2020;-;;;
516;Pegawai 515;S1;Pemeriksa Pertama;BPK Perwakilan Provinsi Aceh;32;09/01/2019;-;;;
517;Pegawai 516;S2;Pemeriksa Muda;BPK Perwakilan Provinsi Sulawesi Selatan;29;28/01/2022;-;;;
518;Pegawai 517;S2;Arsiparis Muda ;BPK Perwakilan Provinsi Bangka Belitung;57;14/12/2020;-;;;
519;Pegawai 518;D4;Analis Kepegawaian Muda ;BPK Perwakilan Provinsi Jawa Barat;45;30/08/2020;-;;;
520;Pegawai 519;S2;Analis Pengelolaan Keuangan APBN Muda ;BPK Perwakilan Provinsi Jambi;31;19/03/2022;-;;;
521;Pegawai 520;S1;Pemeriksa Pertama;BPK Perwakilan Provinsi Maluku Utara;47;25/03/2019;-;;;
522;Pegawai 521;S1;Analis Kepegawaian Pertama ;BPK Perwakilan Provinsi Sumatera Selatan;26;19/09/2021;-;;;
523;Pegawai 522;D4;Analis Kepegawaian Pertama ;BPK Perwakilan Provinsi Bangka Belitung;56;24/12/2019;-;;;
524;Pegawai 523;S1;Analis Kepegawaian Muda ;BPK Perwakilan Provinsi Riau;32;28/11/2021;-;;;
525;Pegawai 524;D4;Pranata Keuangan APBN Terampil ;BPK Perwakilan Provinsi Sulawesi Tenggara;25;23/08/2019;-;;;
526;Pegawai 525;D4;Analis Pengelolaan Keuangan APBN Muda ;BPK Perwakilan Provinsi Jawa Barat;38;14/03/2018;14/03/2022;;;
527;Pegawai 526;S1;Pranata Keuangan APBN Terampil ;BPK Perwakilan Provinsi Sulawesi Tengah;34;05/08/2018;05/08/2022;;;
528;Pegawai 527;D4;Pemeriksa Utama;BPK Perwakilan Provinsi Sulawesi Utara;41;23/08/2019;-;;;
529;Pegawai 528;S2;Arsiparis Muda ;BPK Perwakilan Provinsi Sulawesi Tengah;35;18/06/2019;-;;;
530;Pegawai 529;D4;Analis Kepegawaian Muda ;BPK Perwakilan Provinsi DKI Jakarta;22;19/01/2019;-;;;
531;Pegawai 530;S2;Pranata Komputer Terampil ;BPK Perwakilan Provinsi Jawa Barat;31;09/03/2021;-;;;
532;Pegawai 531;S1;Pranata Komputer Pertama ;BPK Perwakilan Provinsi Maluku Utara;38;23/03/2022;-;;;
533;Pegawai 532;S1;Pranata Komputer Muda ;BPK Perwakilan Provinsi Papua;55;25/03/2018;25/03/2022;;;
534;Pegawai 533;D4;Pranata Komputer Terampil ;BPK Perwakilan Provinsi Sulawesi Utara;43;30/09/2019;-;;;
535;Pegawai 534;S1;Pranata Keuangan APBN Mahir ;BPK Perwakilan Provinsi Sulawesi Tengah;35;06/05/2021;-;;;
536;Pegawai 535;D4;Pemeriksa Madya;BPK Perwakilan Provinsi Kalimantan Timur;22;26/07/2020;-;;;
537;Pegawai 536;D4;Analis Pengelolaan Keuangan APBN Pertama ;BPK Perwakilan Provinsi Kalimantan Tengah;54;23/04/2022;-;;;
538;Pegawai 537;S1;Pranata Komputer Pertama ;BPK Perwakilan Provinsi DKI Jakarta;40;08/03/2018;08/03/2022;;;
539;Pegawai 538;D4;Analis Kepegawaian Muda ;BPK Perwakilan Provinsi Maluku;54;25/08/2019;-;;;
540;Pegawai 539;S1;Pemeriksa Madya;BPK Perwakilan Provinsi DKI Jakarta;55;09/03/2018;09/03/2022;;;
541;Pegawai 540;D4;Pranata Keuangan APBN Mahir ;BPK Perwakilan Provinsi Jawa Tengah;26;25/10/2020;-;;;
542;Pegawai 541;S2;Analis Pengelolaan Keuangan APBN Pertama ;BPK Perwakilan Provinsi Sumatera Selatan;37;28/03/2018;28/03/2022;;;
543;Pegawai 542;S2;Pranata Komputer Muda ;BPK Perwakilan Provinsi Banten;32;26/04/2020;-;;;
544;Pegawai 543;S2;Pranata Keuangan APBN Terampil ;BPK Perwakilan Provinsi Nusa Tenggara Timur;36;02/03/2019;-;;;
545;Pegawai 544;S1;Pemeriksa Madya;BPK Perwakilan Provinsi Kalimantan Tengah;31;29/08/2019;-;;;
546;Pegawai 545;D4;Analis Kepegawaian Muda ;BPK Perwakilan Provinsi DI Yogyakarta;36;03/05/2022;-;;;
547;Pegawai 546;S1;Pranata Komputer Muda ;BPK Perwakilan Provinsi Bali;46;14/03/2020;-;;;
548;Pegawai 547;S2;Pranata Keuangan APBN Terampil ;BPK Perwakilan Provinsi Sulawesi Utara;47;12/12/2020;-;;;
549;Pegawai 548;S1;Analis Kepegawaian Pertama ;BPK Perwakilan Provinsi Sumatera Selatan;48;15/09/2019;-;;;
550;Pegawai 549;S1;Pranata Keuangan APBN Mahir ;BPK Perwakilan Provinsi DI Yogyakarta;22;02/04/2021;-;;;
551;Pegawai 550;D4;Analis Kepegawaian Muda ;BPK Perwakilan Provinsi Nusa Tenggara Timur;49;24/12/2019;-;;;
552;Pegawai 551;S1;Pranata Komputer Pertama ;BPK Perwakilan Provinsi Sulawesi Tenggara;48;03/04/2020;-;;;
553;Pegawai 552;D4;Pranata Komputer Muda ;BPK Perwakilan Provinsi Gorontalo;50;18/08/2021;-;;;
554;Pegawai 553;S2;Arsiparis Muda ;BPK Perwakilan Provinsi Sulawesi Utara;49;15/11/2021;-;;;
555;Pegawai 554;D4;Pemeriksa Utama;BPK Perwakilan Provinsi Jawa Barat;22;19/11/2021;-;;;
556;Pegawai 555;S1;Pranata Keuangan APBN Mahir ;BPK Perwakilan Provinsi Sumatera Barat;27;15/03/2018;15/03/2022;;;
557;Pegawai 556;S1;Pranata Keuangan APBN Penyelia ;BPK Perwakilan Provinsi Sumatera Utara;42;25/11/2020;-;;;
558;Pegawai 557;S1;Pemeriksa Pertama;BPK Perwakilan Provinsi Kalimantan Utara;27;27/09/2018;27/09/2022;;;
559;Pegawai 558;S2;Analis Pengelolaan Keuangan APBN Pertama ;BPK Perwakilan Provinsi Sulawesi Tengah;53;22/05/2019;-;;;
560;Pegawai 559;S1;Arsiparis Muda ;BPK Perwakilan Provinsi Banten;51;08/11/2021;-;;;
561;Pegawai 560;D4;Pemeriksa Utama;BPK Perwakilan Provinsi Kalimantan Barat;28;06/06/2019;-;;;
562;Pegawai 561;S2;Analis Kepegawaian Pertama ;BPK Perwakilan Provinsi Kalimantan Selatan;51;10/07/2019;-;;;
563;Pegawai 562;D4;Pranata Keuangan APBN Terampil ;BPK Perwakilan Provinsi Jambi;57;24/02/2019;-;;;
564;Pegawai 563;S1;Pemeriksa Pertama;BPK Perwakilan Provinsi Bengkulu;24;01/05/2019;-;;;
565;Pegawai 564;D4;Analis Pengelolaan Keuangan APBN Muda ;BPK Perwakilan Provinsi Bali;41;28/12/2020;-;;;
566;Pegawai 565;D4;Arsiparis Muda ;BPK Perwakilan Provinsi Bali;32;30/01/2018;30/01/2022;;;
567;Pegawai 566;S1;Pranata Keuangan APBN Mahir ;BPK Perwakilan Provinsi Sulawesi Barat;30;14/07/2019;-;;;
568;Pegawai 567;D4;Analis Kepegawaian Pertama ;BPK Perwakilan Provinsi Nusa Tenggara Timur;24;12/02/2022;-;;;
569;Pegawai 568;D4;Analis Kepegawaian Pertama ;BPK Perwakilan Provinsi DKI Jakarta;35;22/04/2018;22/04/2022;;;
570;Pegawai 569;S1;Arsiparis Muda ;BPK Perwakilan Provinsi Sumatera Selatan;24;08/09/2020;-;;;
571;Pegawai 570;S1;Analis Pengelolaan Keuangan APBN Pertama ;BPK Perwakilan Provinsi Nusa Tenggara Barat;33;09/08/2021;-;;;
572;Pegawai 571;D4;Pranata Keuangan APBN Terampil ;BPK Perwakilan Provinsi Kalimantan Barat;58;07/05/2020;-;;;
573;Pegawai 572;S2;Analis Pengelolaan Keuangan APBN Muda ;BPK Perwakilan Provinsi Kalimantan Selatan;30;26/07/2021;-;;;
574;Pegawai 573;D4;Analis Pengelolaan Keuangan APBN Muda ;BPK Perwakilan Provinsi Nusa Tenggara Timur;37;29/12/2021;-;;;
575;Pegawai 574;S1;Analis Pengelolaan Keuangan APBN Muda ;BPK Perwakilan Provinsi Sulawesi Barat;48;20/10/2019;-;;;
576;Pegawai 575;S2;Analis Pengelolaan Keuangan APBN Muda ;BPK Perwakilan Provinsi Jawa Barat;47;01/09/2021;-;;;
577;Pegawai 576;D4;Pranata Komputer Pertama ;BPK Perwakilan Provinsi Bangka Belitung;52;25/11/2018;25/11/2022;;;
578;Pegawai 577;S1;Pranata Keuangan APBN Mahir ;BPK Perwakilan Provinsi Kepulauan Riau;54;12/07/2018;12/07/2022;;;
579;Pegawai 578;S1;Pranata Komputer Terampil ;BPK Perwakilan Provinsi Kepulauan Riau;57;15/04/2021;-;;;
580;Pegawai 579;D4;Pranata Komputer Pertama ;BPK Perwakilan Provinsi Bengkulu;45;06/06/2020;-;;;
581;Pegawai 580;D4;Analis Kepegawaian Muda ;BPK Perwakilan Provinsi Jambi;52;08/04/2020;-;;;
582;Pegawai 581;S2;Pemeriksa Utama;BPK Perwakilan Provinsi Nusa Tenggara Barat;52;07/10/2019;-;;;
583;Pegawai 582;D4;Pranata Komputer Muda ;BPK Perwakilan Provinsi Sumatera Selatan;33;28/01/2020;-;;;
584;Pegawai 583;S2;Analis Kepegawaian Muda ;BPK Perwakilan Provinsi Maluku;36;19/04/2021;-;;;
585;Pegawai 584;D4;Pranata Keuangan APBN Penyelia ;BPK Perwakilan Provinsi Jawa Barat;58;02/10/2020;-;;;
586;Pegawai 585;S1;Analis Pengelolaan Keuangan APBN Muda ;BPK Perwakilan Provinsi Sulawesi Tengah;34;21/11/2019;-;;;
587;Pegawai 586;D4;Pranata Komputer Terampil ;BPK Perwakilan Provinsi Papua Barat;53;08/11/2018;08/11/2022;;;
588;Pegawai 587;S1;Pranata Keuangan APBN Terampil ;BPK Perwakilan Provinsi Bengkulu;57;16/05/2018;16/05/2022;;;
589;Pegawai 588;D4;Pemeriksa Madya;BPK Perwakilan Provinsi Jawa Barat;48;18/06/2019;-;;;
590;Pegawai 589;S2;Analis Pengelolaan Keuangan APBN Muda ;BPK Perwakilan Provinsi Nusa Tenggara Barat;36;23/03/2019;-;;;
591;Pegawai 590;S1;Pranata Komputer Terampil ;BPK Perwakilan Provinsi Bali;29;23/10/2020;-;;;
592;Pegawai 591;S2;Pemeriksa Utama;BPK Perwakilan Provinsi Kalimantan Utara;39;30/07/2022;-;;;
593;Pegawai 592;D4;Analis Kepegawaian Pertama ;BPK Perwakilan Provinsi Kalimantan Barat;22;14/12/2021;-;;;
594;Pegawai 593;S1;Analis Kepegawaian Muda ;BPK Perwakilan Provinsi Sulawesi Selatan;55;02/03/2022;-;;;
595;Pegawai 594;D4;Pranata Keuangan APBN Mahir ;BPK Perwakilan Provinsi Sumatera Barat;58;22/07/2021;-;;;
596;Pegawai 595;S2;Pemeriksa Muda;BPK Perwakilan Provinsi Kalimantan Selatan;34;26/01/2020;-;;;
597;Pegawai 596;S1;Analis Kepegawaian Pertama ;BPK Perwakilan Provinsi Riau;23;26/02/2019;-;;;
598;Pegawai 597;D4;Analis Pengelolaan Keuangan APBN Muda ;BPK Perwakilan Provinsi Sulawesi Selatan;41;02/01/2019;-;;;
599;Pegawai 598;S1;Analis Pengelolaan Keuangan APBN Muda ;BPK Perwakilan Provinsi Maluku;49;03/08/2020;-;;;
600;Pegawai 599;S1;Pemeriksa Madya;BPK Perwakilan Provinsi Jawa Tengah;24;19/08/2018;19/08/2022;;;
601;Pegawai 600;S1;Pranata Komputer Muda ;BPK Perwakilan Provinsi Bali;24;13/07/2020;-;;;
602;Pegawai 601;D4;Pranata Komputer Terampil ;BPK Perwakilan Provinsi Bangka Belitung;36;25/01/2020;-;;;
603;Pegawai 602;S2;Analis Pengelolaan Keuangan APBN Muda ;BPK Perwakilan Provinsi Bali;32;22/11/2021;-;;;
604;Pegawai 603;S1;Analis Pengelolaan Keuangan APBN Pertama ;BPK Perwakilan Provinsi Sulawesi Selatan;26;04/07/2021;-;;;
605;Pegawai 604;S2;Pranata Keuangan APBN Mahir ;BPK Perwakilan Provinsi Nusa Tenggara Barat;52;15/04/2020;-;;;
606;Pegawai 605;S2;Pranata Keuangan APBN Penyelia ;BPK Perwakilan Provinsi Maluku;49;26/02/2018;26/02/2022;;;
607;Pegawai 606;S2;Arsiparis Muda ;BPK Perwakilan Provinsi Sulawesi Selatan;47;05/07/2022;-;;;
608;Pegawai 607;D4;Analis Kepegawaian Pertama ;BPK Perwakilan Provinsi Sumatera Barat;41;27/04/2019;-;;;
609;Pegawai 608;S1;Pranata Keuangan APBN Penyelia ;BPK Perwakilan Provinsi Sumatera Barat;51;31/12/2020;-;;;
610;Pegawai 609;S1;Pemeriksa Muda;BPK Perwakilan Provinsi Maluku Utara;33;11/12/2020;-;;;
611;Pegawai 610;D4;Pranata Komputer Muda ;BPK Perwakilan Provinsi Sulawesi Tengah;36;20/09/2019;-;;;
612;Pegawai 611;S2;Pranata Komputer Muda ;BPK Perwakilan Provinsi Jawa Barat;37;02/02/2018;02/02/2022;;;
613;Pegawai 612;S2;Analis Pengelolaan Keuangan APBN Pertama ;BPK Perwakilan Provinsi Sumatera Utara;37;08/06/2022;-;;;
614;Pegawai 613;S2;Pranata Komputer Pertama ;BPK Perwakilan Provinsi Sumatera Barat;44;09/10/2019;-;;;
615;Pegawai 614;S2;Pemeriksa Madya;BPK Perwakilan Provinsi Jawa Barat;26;18/05/2018;18/05/2022;;;
616;Pegawai 615;S2;Pemeriksa Pertama;BPK Perwakilan Provinsi Lampung;42;06/02/2019;-;;;
617;Pegawai 616;S1;Analis Pengelolaan Keuangan APBN Muda ;BPK Perwakilan Provinsi Riau;46;22/02/2021;-;;;
618;Pegawai 617;S1;Pranata Keuangan APBN Mahir ;BPK Perwakilan Provinsi DKI Jakarta;56;10/11/2018;10/11/2022;;;
619;Pegawai 618;S1;Arsiparis Muda ;BPK Perwakilan Provinsi Lampung;46;15/09/2019;-;;;
620;Pegawai 619;S2;Analis Kepegawaian Pertama ;BPK Perwakilan Provinsi Lampung;52;06/09/2019;-;;;
621;Pegawai 620;S2;Arsiparis Muda ;BPK Perwakilan Provinsi Kalimantan Tengah;54;28/06/2021;-;;;
622;Pegawai 621;D4;Analis Kepegawaian Pertama ;BPK Perwakilan Provinsi Lampung;24;28/07/2019;-;;;
623;Pegawai 622;S1;Pemeriksa Pertama;BPK Perwakilan Provinsi Kalimantan Tengah;52;22/01/2021;-;;;
624;Pegawai 623;S1;Pranata Keuangan APBN Penyelia ;BPK Perwakilan Provinsi Kalimantan Barat;54;14/03/2021;-;;;
625;Pegawai 624;S1;Pranata Keuangan APBN Mahir ;BPK Perwakilan Provinsi Lampung;50;13/08/2020;-;;;
626;Pegawai 625;D4;Analis Pengelolaan Keuangan APBN Muda ;BPK Perwakilan Provinsi Aceh;34;22/11/2019;-;;;
627;Pegawai 626;S2;Pranata Keuangan APBN Mahir ;BPK Perwakilan Provinsi Sulawesi Selatan;32;10/11/2018;10/11/2022;;;
628;Pegawai 627;D4;Pranata Komputer Muda ;BPK Perwakilan Provinsi DI Yogyakarta;22;19/01/2022;-;;;
629;Pegawai 628;D4;Pranata Keuangan APBN Mahir ;BPK Perwakilan Provinsi Papua Barat;57;29/10/2019;-;;;
630;Pegawai 629;S2;Pranata Keuangan APBN Mahir ;BPK Perwakilan Provinsi Jawa Timur;26;04/07/2021;-;;;
631;Pegawai 630;S1;Analis Kepegawaian Pertama ;BPK Perwakilan Provinsi Sulawesi Tengah;56;04/06/2019;-;;;
632;Pegawai 631;S2;Pranata Keuangan APBN Mahir ;BPK Perwakilan Provinsi Sulawesi Tenggara;50;26/07/2020;-;;;
633;Pegawai 632;D4;Analis Pengelolaan Keuangan APBN Pertama ;BPK Perwakilan Provinsi Bengkulu;56;31/05/2022;-;;;
634;Pegawai 633;D4;Pemeriksa Madya;BPK Perwakilan Provinsi Sulawesi Tengah;21;20/09/2018;20/09/2022;;;
635;Pegawai 634;S1;Analis Kepegawaian Muda ;BPK Perwakilan Provinsi Kalimantan Tengah;55;04/02/2022;-;;;
636;Pegawai 635;S1;Pranata Komputer Terampil ;BPK Perwakilan Provinsi Sumatera Barat;36;02/05/2020;-;;;
637;Pegawai 636;S1;Analis Kepegawaian Pertama ;BPK Perwakilan Provinsi Nusa Tenggara Barat;46;30/09/2021;-;;;
638;Pegawai 637;S1;Analis Kepegawaian Muda ;BPK Perwakilan Provinsi Jambi;46;02/05/2020;-;;;
639;Pegawai 638;D4;Pranata Keuangan APBN Terampil ;BPK Perwakilan Provinsi Sulawesi Tenggara;45;02/09/2019;-;;;
640;Pegawai 639;D4;Pranata Keuangan APBN Terampil ;BPK Perwakilan Provinsi Sulawesi Tengah;42;24/03/2019;-;;;
641;Pegawai 640;D4;Pranata Komputer Muda ;BPK Perwakilan Provinsi Kalimantan Barat;48;03/01/2020;-;;;
642;Pegawai 641;S1;Pranata Keuangan APBN Terampil ;BPK Perwakilan Provinsi Sumatera Utara;49;17/12/2019;-;;;
643;Pegawai 642;D4;Analis Kepegawaian Pertama ;BPK Perwakilan Provinsi Sumatera Selatan;41;15/09/2020;-;;;
644;Pegawai 643;S1;Pemeriksa Muda;BPK Perwakilan Provinsi Sulawesi Utara;52;01/08/2020;-;;;
645;Pegawai 644;S1;Arsiparis Muda ;BPK Perwakilan Provinsi Kepulauan Riau;41;10/10/2021;-;;;
646;Pegawai 645;S1;Analis Kepegawaian Pertama ;BPK Perwakilan Provinsi Sumatera Barat;32;08/11/2018;08/11/2022;;;
647;Pegawai 646;S1;Analis Pengelolaan Keuangan APBN Pertama ;BPK Perwakilan Provinsi Aceh;50;18/04/2018;18/04/2022;;;
648;Pegawai 647;S2;Analis Kepegawaian Pertama ;BPK Perwakilan Provinsi Maluku;41;22/11/2018;22/11/2022;;;
649;Pegawai 648;D4;Pranata Komputer Muda ;BPK Perwakilan Provinsi Kalimantan Selatan;42;25/02/2018;25/02/2022;;;
650;Pegawai 649;S2;Pranata Komputer Pertama ;BPK Perwakilan Provinsi DI Yogyakarta;41;02/03/2020;-;;;
651;Pegawai 650;S1;Pranata Komputer Muda ;BPK Perwakilan Provinsi Bangka Belitung;31;23/06/2019;-;;;
652;Pegawai 651;S1;Pranata Keuangan APBN Mahir ;BPK Perwakilan Provinsi Kepulauan Riau;48;28/12/2018;-;;;
653;Pegawai 652;D4;Pemeriksa Madya;BPK Perwakilan Provinsi Bengkulu;24;20/04/2020;-;;;
654;Pegawai 653;D4;Pranata Keuangan APBN Mahir ;BPK Perwakilan Provinsi Banten;55;06/02/2019;-;;;
655;Pegawai 654;S2;Analis Pengelolaan Keuangan APBN Pertama ;BPK Perwakilan Provinsi Sulawesi Barat;50;11/02/2020;-;;;
656;Pegawai 655;S2;Arsiparis Muda ;BPK Perwakilan Provinsi Kalimantan Tengah;32;22/12/2020;-;;;
657;Pegawai 656;S2;Pranata Komputer Pertama ;BPK Perwakilan Provinsi Sumatera Utara;26;08/09/2021;-;;;
658;Pegawai 657;S2;Analis Pengelolaan Keuangan APBN Pertama ;BPK Perwakilan Provinsi Kalimantan Selatan;28;19/12/2019;-;;;
659;Pegawai 658;S1;Pranata Komputer Pertama ;BPK Perwakilan Provinsi Kalimantan Selatan;33;19/02/2019;-;;;
660;Pegawai 659;S1;Pranata Keuangan APBN Mahir ;BPK Perwakilan Provinsi Gorontalo;43;08/07/2022;-;;;
661;Pegawai 660;S2;Pranata Keuangan APBN Mahir ;BPK Perwakilan Provinsi Nusa Tenggara Timur;49;20/03/2019;-;;;
662;Pegawai 661;D4;Pemeriksa Pertama;BPK Perwakilan Provinsi Nusa Tenggara Timur;48;12/06/2020;-;;;
663;Pegawai 662;D4;Pemeriksa Utama;BPK Perwakilan Provinsi Kalimantan Barat;47;13/09/2019;-;;;
664;Pegawai 663;S1;Analis Kepegawaian Pertama ;BPK Perwakilan Provinsi Jawa Tengah;34;04/12/2018;04/12/2022;;;
665;Pegawai 664;S2;Analis Pengelolaan Keuangan APBN Pertama ;BPK Perwakilan Provinsi Gorontalo;56;01/05/2022;-;;;
666;Pegawai 665;S1;Analis Pengelolaan Keuangan APBN Muda ;BPK Perwakilan Provinsi Kalimantan Selatan;50;13/02/2018;13/02/2022;;;
667;Pegawai 666;S2;Arsiparis Muda ;BPK Perwakilan Provinsi Gorontalo;26;05/12/2020;-;;;
668;Pegawai 667;D4;Analis Kepegawaian Muda ;BPK Perwakilan Provinsi Sumatera Selatan;52;01/10/2021;-;;;
669;Pegawai 668;S2;Analis Kepegawaian Pertama ;BPK Perwakilan Provinsi Sulawesi Utara;51;16/09/2021;-;;;
670;Pegawai 669;S2;Analis Pengelolaan Keuangan APBN Pertama ;BPK Perwakilan Provinsi Gorontalo;32;14/05/2018;14/05/2022;;;
671;Pegawai 670;S2;Pranata Keuangan APBN Terampil ;BPK Perwakilan Provinsi DKI Jakarta;41;24/09/2021;-;;;
672;Pegawai 671;S2;Pranata Keuangan APBN Mahir ;BPK Perwakilan Provinsi Jawa Barat;32;19/04/2022;-;;;
673;Pegawai 672;S2;Pemeriksa Madya;BPK Perwakilan Provinsi Maluku Utara;40;04/03/2021;-;;;
674;Pegawai 673;S2;Pranata Keuangan APBN Penyelia ;BPK Perwakilan Provinsi Sulawesi Tengah;38;04/05/2022;-;;;
675;Pegawai 674;S1;Pranata Keuangan APBN Terampil ;BPK Perwakilan Provinsi Jawa Tengah;47;11/10/2019;-;;;
