skp_id;pegawai_nama;skp_nilai;skp_tahun
;Pegawai 774;83;31/12/2021
;Pegawai 775;86;31/12/2021
;Pegawai 776;74;31/12/2021
;Pegawai 777;74;31/12/2021
;Pegawai 778;98;31/12/2021
;Pegawai 779;75;31/12/2021
;Pegawai 780;92;31/12/2021
;Pegawai 781;81;31/12/2021
;Pegawai 782;97;31/12/2021
;Pegawai 783;78;31/12/2021
;Pegawai 784;96;31/12/2021
;Pegawai 785;99;31/12/2021
;Pegawai 786;92;31/12/2021
;Pegawai 787;72;31/12/2021
;Pegawai 788;81;31/12/2021
;Pegawai 789;70;31/12/2021
;Pegawai 790;82;31/12/2021
;Pegawai 791;79;31/12/2021
;Pegawai 792;82;31/12/2021
;Pegawai 793;87;31/12/2021
;Pegawai 794;74;31/12/2021
;Pegawai 795;86;31/12/2021
;Pegawai 796;72;31/12/2021
;Pegawai 797;91;31/12/2021
;Pegawai 798;91;31/12/2021
;Pegawai 799;76;31/12/2021
;Pegawai 800;97;31/12/2021
;Pegawai 801;92;31/12/2021
;Pegawai 802;95;31/12/2021
;Pegawai 803;93;31/12/2021
;Pegawai 804;87;31/12/2021
;Pegawai 805;86;31/12/2021
;Pegawai 806;77;31/12/2021
;Pegawai 807;86;31/12/2021
;Pegawai 808;74;31/12/2021
;Pegawai 809;84;31/12/2021
;Pegawai 810;99;31/12/2021
;Pegawai 811;80;31/12/2021
;Pegawai 812;81;31/12/2021
;Pegawai 813;96;31/12/2021
;Pegawai 814;81;31/12/2021
;Pegawai 815;91;31/12/2021
;Pegawai 816;91;31/12/2021
;Pegawai 817;89;31/12/2021
;Pegawai 818;81;31/12/2021
;Pegawai 819;76;31/12/2021
;Pegawai 820;94;31/12/2021
;Pegawai 821;73;31/12/2021
;Pegawai 822;91;31/12/2021
;Pegawai 823;89;31/12/2021
;Pegawai 824;93;31/12/2021
;Pegawai 825;74;31/12/2021
;Pegawai 826;98;31/12/2021
;Pegawai 827;81;31/12/2021
;Pegawai 828;84;31/12/2021
;Pegawai 829;98;31/12/2021
;Pegawai 830;83;31/12/2021
;Pegawai 831;71;31/12/2021
;Pegawai 832;84;31/12/2021
;Pegawai 833;78;31/12/2021
;Pegawai 834;99;31/12/2021
;Pegawai 835;71;31/12/2021
;Pegawai 836;97;31/12/2021
;Pegawai 837;98;31/12/2021
;Pegawai 838;76;31/12/2021
;Pegawai 839;92;31/12/2021
;Pegawai 840;94;31/12/2021
;Pegawai 841;96;31/12/2021
;Pegawai 842;73;31/12/2021
;Pegawai 843;78;31/12/2021
;Pegawai 844;87;31/12/2021
;Pegawai 845;86;31/12/2021
;Pegawai 846;92;31/12/2021
;Pegawai 847;96;31/12/2021
;Pegawai 848;90;31/12/2021
;Pegawai 849;74;31/12/2021
;Pegawai 850;88;31/12/2021
;Pegawai 851;86;31/12/2021
;Pegawai 852;90;31/12/2021
;Pegawai 853;71;31/12/2021
;Pegawai 854;86;31/12/2021
;Pegawai 855;74;31/12/2021
;Pegawai 856;77;31/12/2021
;Pegawai 857;78;31/12/2021
;Pegawai 858;91;31/12/2021
;Pegawai 859;89;31/12/2021
;Pegawai 860;71;31/12/2021
;Pegawai 861;80;31/12/2021
;Pegawai 862;75;31/12/2021
;Pegawai 863;78;31/12/2021
;Pegawai 864;94;31/12/2021
;Pegawai 865;79;31/12/2021
;Pegawai 866;75;31/12/2021
;Pegawai 867;82;31/12/2021
;Pegawai 868;91;31/12/2021
;Pegawai 869;95;31/12/2021
;Pegawai 870;94;31/12/2021
;Pegawai 871;83;31/12/2021
;Pegawai 872;79;31/12/2021
;Pegawai 873;91;31/12/2021
;Pegawai 874;78;31/12/2021
;Pegawai 875;99;31/12/2021
;Pegawai 876;74;31/12/2021
;Pegawai 877;78;31/12/2021
;Pegawai 878;80;31/12/2021
;Pegawai 879;85;31/12/2021
;Pegawai 880;73;31/12/2021
;Pegawai 881;86;31/12/2021
;Pegawai 882;73;31/12/2021
;Pegawai 883;96;31/12/2021
;Pegawai 884;79;31/12/2021
;Pegawai 885;84;31/12/2021
;Pegawai 886;92;31/12/2021
;Pegawai 887;93;31/12/2021
;Pegawai 888;77;31/12/2021
;Pegawai 889;98;31/12/2021
;Pegawai 890;70;31/12/2021
;Pegawai 891;95;31/12/2021
;Pegawai 892;93;31/12/2021
;Pegawai 893;89;31/12/2021
;Pegawai 894;76;31/12/2021
;Pegawai 895;88;31/12/2021
;Pegawai 896;93;31/12/2021
;Pegawai 897;82;31/12/2021
;Pegawai 898;80;31/12/2021
;Pegawai 899;99;31/12/2021
;Pegawai 900;85;31/12/2021
;Pegawai 901;74;31/12/2021
;Pegawai 902;95;31/12/2021
;Pegawai 903;76;31/12/2021
;Pegawai 904;87;31/12/2021
;Pegawai 905;85;31/12/2021
;Pegawai 906;79;31/12/2021
;Pegawai 907;96;31/12/2021
;Pegawai 908;77;31/12/2021
;Pegawai 909;86;31/12/2021
;Pegawai 910;75;31/12/2021
;Pegawai 911;74;31/12/2021
;Pegawai 912;84;31/12/2021
;Pegawai 913;79;31/12/2021
;Pegawai 914;86;31/12/2021
;Pegawai 915;92;31/12/2021
;Pegawai 916;72;31/12/2021
;Pegawai 917;71;31/12/2021
;Pegawai 918;80;31/12/2021
;Pegawai 919;86;31/12/2021
;Pegawai 920;86;31/12/2021
;Pegawai 921;93;31/12/2021
;Pegawai 922;84;31/12/2021
;Pegawai 923;75;31/12/2021
;Pegawai 924;84;31/12/2021
;Pegawai 925;99;31/12/2021
;Pegawai 926;71;31/12/2021
;Pegawai 927;84;31/12/2021
;Pegawai 928;87;31/12/2021
;Pegawai 929;74;31/12/2021
;Pegawai 930;96;31/12/2021
;Pegawai 931;89;31/12/2021
;Pegawai 932;97;31/12/2021
;Pegawai 933;80;31/12/2021
;Pegawai 934;83;31/12/2021
;Pegawai 935;98;31/12/2021
;Pegawai 936;99;31/12/2021
;Pegawai 937;78;31/12/2021
;Pegawai 938;88;31/12/2021
;Pegawai 939;99;31/12/2021
;Pegawai 940;89;31/12/2021
;Pegawai 941;80;31/12/2021
;Pegawai 942;81;31/12/2021
;Pegawai 943;76;31/12/2021
;Pegawai 944;87;31/12/2021
;Pegawai 945;74;31/12/2021
;Pegawai 946;84;31/12/2021
;Pegawai 947;94;31/12/2021
;Pegawai 948;74;31/12/2021
;Pegawai 949;91;31/12/2021
;Pegawai 950;72;31/12/2021
;Pegawai 951;83;31/12/2021
;Pegawai 952;84;31/12/2021
;Pegawai 953;80;31/12/2021
;Pegawai 954;85;31/12/2021
;Pegawai 955;73;31/12/2021
;Pegawai 956;87;31/12/2021
;Pegawai 957;85;31/12/2021
;Pegawai 958;82;31/12/2021
;Pegawai 959;96;31/12/2021
;Pegawai 960;76;31/12/2021
;Pegawai 961;99;31/12/2021
;Pegawai 962;98;31/12/2021
;Pegawai 963;97;31/12/2021
;Pegawai 964;81;31/12/2021
;Pegawai 965;73;31/12/2021
;Pegawai 966;83;31/12/2021
;Pegawai 967;77;31/12/2021
;Pegawai 968;79;31/12/2021
;Pegawai 969;79;31/12/2021
;Pegawai 970;80;31/12/2021
;Pegawai 971;96;31/12/2021
;Pegawai 972;96;31/12/2021
;Pegawai 973;93;31/12/2021
;Pegawai 974;94;31/12/2021
;Pegawai 975;73;31/12/2021
;Pegawai 976;85;31/12/2021
;Pegawai 977;81;31/12/2021
;Pegawai 978;78;31/12/2021
;Pegawai 979;81;31/12/2021
;Pegawai 980;78;31/12/2021
;Pegawai 981;72;31/12/2021
;Pegawai 982;92;31/12/2021
;Pegawai 983;79;31/12/2021
;Pegawai 984;76;31/12/2021
;Pegawai 985;95;31/12/2021
;Pegawai 986;93;31/12/2021
;Pegawai 987;75;31/12/2021
;Pegawai 988;96;31/12/2021
;Pegawai 989;86;31/12/2021
;Pegawai 990;76;31/12/2021
;Pegawai 991;95;31/12/2021
;Pegawai 992;75;31/12/2021
;Pegawai 993;83;31/12/2021
;Pegawai 994;95;31/12/2021
;Pegawai 995;77;31/12/2021
;Pegawai 996;81;31/12/2021
;Pegawai 997;83;31/12/2021
;Pegawai 998;70;31/12/2021
;Pegawai 999;80;31/12/2021
;Pegawai 1000;75;31/12/2021
;Pegawai 1001;96;31/12/2021
;Pegawai 1002;84;31/12/2021
;Pegawai 1003;89;31/12/2021
;Pegawai 1004;81;31/12/2021
;Pegawai 1005;84;31/12/2021
;Pegawai 1006;74;31/12/2021
;Pegawai 1007;92;31/12/2021
;Pegawai 1008;72;31/12/2021
;Pegawai 1009;98;31/12/2021
;Pegawai 1010;79;31/12/2021
;Pegawai 1011;70;31/12/2021
;Pegawai 1012;71;31/12/2021
;Pegawai 1013;95;31/12/2021
;Pegawai 1014;81;31/12/2021
;Pegawai 1015;97;31/12/2021
;Pegawai 1016;73;31/12/2021
;Pegawai 1017;89;31/12/2021
;Pegawai 1018;84;31/12/2021
;Pegawai 1019;73;31/12/2021
;Pegawai 1020;79;31/12/2021
;Pegawai 1021;98;31/12/2021
;Pegawai 1022;70;31/12/2021
;Pegawai 1023;89;31/12/2021
;Pegawai 1024;82;31/12/2021
;Pegawai 1025;77;31/12/2021
;Pegawai 1026;85;31/12/2021
;Pegawai 1027;90;31/12/2021
;Pegawai 1028;74;31/12/2021
;Pegawai 1029;71;31/12/2021
;Pegawai 1030;87;31/12/2021
;Pegawai 1031;70;31/12/2021
;Pegawai 1032;73;31/12/2021
;Pegawai 1033;77;31/12/2021
;Pegawai 1034;82;31/12/2021
;Pegawai 1035;88;31/12/2021
;Pegawai 1036;80;31/12/2021
;Pegawai 1037;78;31/12/2021
;Pegawai 1038;86;31/12/2021
;Pegawai 1039;95;31/12/2021
;Pegawai 1040;76;31/12/2021
;Pegawai 1041;94;31/12/2021
;Pegawai 1042;89;31/12/2021
;Pegawai 1043;99;31/12/2021
;Pegawai 1044;77;31/12/2021
;Pegawai 1045;78;31/12/2021
;Pegawai 1046;71;31/12/2021
;Pegawai 1047;90;31/12/2021
;Pegawai 1048;87;31/12/2021
;Pegawai 1049;95;31/12/2021
;Pegawai 1050;73;31/12/2021
;Pegawai 1051;95;31/12/2021
;Pegawai 1052;70;31/12/2021
;Pegawai 1053;71;31/12/2021
;Pegawai 1054;95;31/12/2021
;Pegawai 1055;86;31/12/2021
;Pegawai 1056;98;31/12/2021
;Pegawai 1057;98;31/12/2021
;Pegawai 1058;95;31/12/2021
;Pegawai 1059;86;31/12/2021
;Pegawai 1060;88;31/12/2021
;Pegawai 1061;76;31/12/2021
;Pegawai 1062;72;31/12/2021
;Pegawai 1063;79;31/12/2021
;Pegawai 1064;74;31/12/2021
;Pegawai 1065;80;31/12/2021
;Pegawai 1066;97;31/12/2021
;Pegawai 1067;96;31/12/2021
;Pegawai 1068;75;31/12/2021
;Pegawai 1069;85;31/12/2021
;Pegawai 1070;81;31/12/2021
;Pegawai 1071;75;31/12/2021
;Pegawai 1072;98;31/12/2021
;Pegawai 1073;96;31/12/2021
;Pegawai 1074;72;31/12/2021
;Pegawai 1075;73;31/12/2021
;Pegawai 1076;95;31/12/2021
;Pegawai 1077;90;31/12/2021
;Pegawai 1078;88;31/12/2021
;Pegawai 1079;97;31/12/2021
;Pegawai 1080;73;31/12/2021
;Pegawai 1081;89;31/12/2021
;Pegawai 1082;84;31/12/2021
;Pegawai 1083;89;31/12/2021
;Pegawai 1084;72;31/12/2021
;Pegawai 1085;79;31/12/2021
;Pegawai 1086;74;31/12/2021
;Pegawai 1087;83;31/12/2021
;Pegawai 1088;95;31/12/2021
;Pegawai 1089;95;31/12/2021
;Pegawai 1090;73;31/12/2021
;Pegawai 1091;94;31/12/2021
;Pegawai 1092;93;31/12/2021
;Pegawai 1093;84;31/12/2021
;Pegawai 1094;93;31/12/2021
;Pegawai 1095;74;31/12/2021
;Pegawai 1096;90;31/12/2021
;Pegawai 1097;85;31/12/2021
;Pegawai 1098;98;31/12/2021
;Pegawai 1099;73;31/12/2021
;Pegawai 1100;87;31/12/2021
;Pegawai 1101;72;31/12/2021
;Pegawai 1102;76;31/12/2021
;Pegawai 1103;96;31/12/2021
;Pegawai 1104;81;31/12/2021
;Pegawai 1105;97;31/12/2021
;Pegawai 1106;75;31/12/2021
;Pegawai 1107;88;31/12/2021
;Pegawai 1108;95;31/12/2021
;Pegawai 1109;88;31/12/2021
;Pegawai 1110;75;31/12/2021
;Pegawai 1111;79;31/12/2021
;Pegawai 1112;94;31/12/2021
;Pegawai 1113;80;31/12/2021
;Pegawai 1114;71;31/12/2021
;Pegawai 1115;89;31/12/2021
;Pegawai 1116;99;31/12/2021
;Pegawai 1117;98;31/12/2021
;Pegawai 1118;93;31/12/2021
;Pegawai 1119;99;31/12/2021
;Pegawai 1120;72;31/12/2021
;Pegawai 1121;79;31/12/2021
;Pegawai 1122;75;31/12/2021
;Pegawai 1123;74;31/12/2021
;Pegawai 1124;71;31/12/2021
;Pegawai 1125;75;31/12/2021
;Pegawai 1126;76;31/12/2021
;Pegawai 1127;71;31/12/2021
;Pegawai 1128;84;31/12/2021
;Pegawai 1129;79;31/12/2021
;Pegawai 1130;70;31/12/2021
;Pegawai 1131;72;31/12/2021
;Pegawai 1132;78;31/12/2021
;Pegawai 1133;98;31/12/2021
;Pegawai 1134;84;31/12/2021
;Pegawai 1135;95;31/12/2021
;Pegawai 1136;90;31/12/2021
;Pegawai 1137;96;31/12/2021
;Pegawai 1138;78;31/12/2021
;Pegawai 1139;79;31/12/2021
;Pegawai 1140;80;31/12/2021
;Pegawai 1141;96;31/12/2021
;Pegawai 1142;92;31/12/2021
;Pegawai 1143;88;31/12/2021
;Pegawai 1144;85;31/12/2021
;Pegawai 1145;86;31/12/2021
;Pegawai 1146;72;31/12/2021
;Pegawai 1147;72;31/12/2021
;Pegawai 1148;80;31/12/2021
;Pegawai 1149;91;31/12/2021
;Pegawai 1150;87;31/12/2021
;Pegawai 1151;72;31/12/2021
;Pegawai 1152;86;31/12/2021
;Pegawai 1153;82;31/12/2021
;Pegawai 1154;99;31/12/2021
;Pegawai 1155;96;31/12/2021
;Pegawai 1156;75;31/12/2021
;Pegawai 1157;90;31/12/2021
;Pegawai 1158;90;31/12/2021
;Pegawai 1159;88;31/12/2021
;Pegawai 1160;83;31/12/2021
;Pegawai 1161;85;31/12/2021
;Pegawai 1162;81;31/12/2021
;Pegawai 1163;74;31/12/2021
;Pegawai 1164;71;31/12/2021
;Pegawai 1165;88;31/12/2021
;Pegawai 1166;95;31/12/2021
;Pegawai 1167;98;31/12/2021
;Pegawai 1168;87;31/12/2021
;Pegawai 1169;96;31/12/2021
;Pegawai 1170;98;31/12/2021
;Pegawai 1171;70;31/12/2021
;Pegawai 1172;86;31/12/2021
;Pegawai 1173;77;31/12/2021
;Pegawai 1174;95;31/12/2021
;Pegawai 1175;71;31/12/2021
;Pegawai 1176;74;31/12/2021
;Pegawai 1177;96;31/12/2021
;Pegawai 1178;85;31/12/2021
;Pegawai 1179;71;31/12/2021
;Pegawai 1180;89;31/12/2021
;Pegawai 1181;93;31/12/2021
;Pegawai 1182;98;31/12/2021
;Pegawai 1183;91;31/12/2021
;Pegawai 1184;95;31/12/2021
;Pegawai 1185;83;31/12/2021
;Pegawai 1186;98;31/12/2021
;Pegawai 1187;77;31/12/2021
;Pegawai 1188;72;31/12/2021
;Pegawai 1189;84;31/12/2021
;Pegawai 1190;78;31/12/2021
;Pegawai 1191;98;31/12/2021
;Pegawai 1192;82;31/12/2021
;Pegawai 1193;83;31/12/2021
;Pegawai 1194;73;31/12/2021
;Pegawai 1195;70;31/12/2021
;Pegawai 1196;71;31/12/2021
;Pegawai 1197;72;31/12/2021
;Pegawai 1198;86;31/12/2021
;Pegawai 1199;74;31/12/2021
;Pegawai 1200;95;31/12/2021
;Pegawai 1201;87;31/12/2021
;Pegawai 1202;78;31/12/2021
;Pegawai 1203;84;31/12/2021
;Pegawai 1204;91;31/12/2021
;Pegawai 1205;85;31/12/2021
;Pegawai 1206;82;31/12/2021
;Pegawai 1207;70;31/12/2021
;Pegawai 1208;71;31/12/2021
;Pegawai 1209;88;31/12/2021
;Pegawai 1210;80;31/12/2021
;Pegawai 1211;80;31/12/2021
;Pegawai 1212;76;31/12/2021
;Pegawai 1213;98;31/12/2021
;Pegawai 1214;92;31/12/2021
;Pegawai 1215;70;31/12/2021
;Pegawai 1216;86;31/12/2021
;Pegawai 1217;85;31/12/2021
;Pegawai 1218;70;31/12/2021
;Pegawai 1219;78;31/12/2021
;Pegawai 1220;87;31/12/2021
;Pegawai 1221;83;31/12/2021
;Pegawai 1222;76;31/12/2021
;Pegawai 1223;98;31/12/2021
;Pegawai 1224;90;31/12/2021
;Pegawai 1225;88;31/12/2021
;Pegawai 1226;86;31/12/2021
;Pegawai 1227;74;31/12/2021
;Pegawai 1228;75;31/12/2021
;Pegawai 1229;95;31/12/2021
;Pegawai 1230;82;31/12/2021
;Pegawai 1231;80;31/12/2021
;Pegawai 1232;83;31/12/2021
;Pegawai 1233;70;31/12/2021
;Pegawai 1234;96;31/12/2021
;Pegawai 1235;73;31/12/2021
;Pegawai 1236;74;31/12/2021
;Pegawai 1237;76;31/12/2021
;Pegawai 1238;86;31/12/2021
;Pegawai 1239;81;31/12/2021
;Pegawai 1240;85;31/12/2021
;Pegawai 1241;89;31/12/2021
;Pegawai 1242;82;31/12/2021
;Pegawai 1243;97;31/12/2021
;Pegawai 1244;99;31/12/2021
;Pegawai 1245;75;31/12/2021
;Pegawai 1246;70;31/12/2021
;Pegawai 1247;98;31/12/2021
;Pegawai 1248;89;31/12/2021
;Pegawai 1249;94;31/12/2021
;Pegawai 1250;93;31/12/2021
;Pegawai 1251;78;31/12/2021
;Pegawai 1252;93;31/12/2021
;Pegawai 1253;79;31/12/2021
;Pegawai 1254;93;31/12/2021
;Pegawai 1255;93;31/12/2021
;Pegawai 1256;97;31/12/2021
;Pegawai 1257;88;31/12/2021
;Pegawai 1258;91;31/12/2021
;Pegawai 1259;76;31/12/2021
;Pegawai 1260;88;31/12/2021
;Pegawai 1261;74;31/12/2021
;Pegawai 1262;94;31/12/2021
;Pegawai 1263;90;31/12/2021
;Pegawai 1264;79;31/12/2021
;Pegawai 1265;99;31/12/2021
;Pegawai 1266;82;31/12/2021
;Pegawai 1267;91;31/12/2021
;Pegawai 1268;75;31/12/2021
;Pegawai 1269;78;31/12/2021
;Pegawai 1270;91;31/12/2021
;Pegawai 1271;85;31/12/2021
;Pegawai 1272;89;31/12/2021
;Pegawai 1273;87;31/12/2021
;Pegawai 1274;78;31/12/2021
;Pegawai 1275;91;31/12/2021
;Pegawai 1276;95;31/12/2021
;Pegawai 1277;99;31/12/2021
;Pegawai 1278;76;31/12/2021
;Pegawai 1279;82;31/12/2021
;Pegawai 1280;81;31/12/2021
;Pegawai 1281;87;31/12/2021
;Pegawai 1282;99;31/12/2021
;Pegawai 1283;71;31/12/2021
;Pegawai 1284;88;31/12/2021
;Pegawai 1285;81;31/12/2021
;Pegawai 1286;88;31/12/2021
;Pegawai 1287;96;31/12/2021
;Pegawai 1288;70;31/12/2021
;Pegawai 1289;89;31/12/2021
;Pegawai 1290;77;31/12/2021
;Pegawai 1291;84;31/12/2021
;Pegawai 1292;72;31/12/2021
;Pegawai 1293;97;31/12/2021
;Pegawai 1294;81;31/12/2021
;Pegawai 1295;91;31/12/2021
;Pegawai 1296;85;31/12/2021
;Pegawai 1297;81;31/12/2021
;Pegawai 1298;73;31/12/2021
;Pegawai 1299;89;31/12/2021
;Pegawai 1300;99;31/12/2021
;Pegawai 1301;70;31/12/2021
;Pegawai 1302;95;31/12/2021
;Pegawai 1303;76;31/12/2021
;Pegawai 1304;76;31/12/2021
;Pegawai 1305;75;31/12/2021
;Pegawai 1306;95;31/12/2021
;Pegawai 1307;91;31/12/2021
;Pegawai 1308;87;31/12/2021
;Pegawai 1309;81;31/12/2021
;Pegawai 1310;75;31/12/2021
;Pegawai 1311;89;31/12/2021
;Pegawai 1312;74;31/12/2021
;Pegawai 1313;92;31/12/2021
;Pegawai 1314;81;31/12/2021
;Pegawai 1315;94;31/12/2021
;Pegawai 1316;99;31/12/2021
;Pegawai 1317;90;31/12/2021
;Pegawai 1318;77;31/12/2021
;Pegawai 1319;72;31/12/2021
;Pegawai 1320;96;31/12/2021
;Pegawai 1321;70;31/12/2021
;Pegawai 1322;99;31/12/2021
;Pegawai 1323;98;31/12/2021
;Pegawai 1324;92;31/12/2021
;Pegawai 1325;93;31/12/2021
;Pegawai 1326;87;31/12/2021
;Pegawai 1327;77;31/12/2021
;Pegawai 1328;79;31/12/2021
;Pegawai 1329;72;31/12/2021
;Pegawai 1330;91;31/12/2021
;Pegawai 1331;83;31/12/2021
;Pegawai 1332;76;31/12/2021
;Pegawai 1333;90;31/12/2021
;Pegawai 1334;89;31/12/2021
;Pegawai 1335;71;31/12/2021
;Pegawai 1336;88;31/12/2021
;Pegawai 1337;96;31/12/2021
;Pegawai 1338;78;31/12/2021
;Pegawai 1339;88;31/12/2021
;Pegawai 1340;99;31/12/2021
;Pegawai 1341;79;31/12/2021
;Pegawai 1342;89;31/12/2021
;Pegawai 1343;75;31/12/2021
;Pegawai 1344;85;31/12/2021
;Pegawai 1345;72;31/12/2021
;Pegawai 1346;92;31/12/2021
;Pegawai 1347;96;31/12/2021
;Pegawai 1348;78;31/12/2021
;Pegawai 1349;98;31/12/2021
;Pegawai 1350;71;31/12/2021
;Pegawai 1351;75;31/12/2021
;Pegawai 1352;81;31/12/2021
;Pegawai 1353;92;31/12/2021
;Pegawai 1354;89;31/12/2021
;Pegawai 1355;86;31/12/2021
;Pegawai 1356;89;31/12/2021
;Pegawai 1357;70;31/12/2021
;Pegawai 1358;91;31/12/2021
;Pegawai 1359;71;31/12/2021
;Pegawai 1360;80;31/12/2021
;Pegawai 1361;77;31/12/2021
;Pegawai 1362;90;31/12/2021
;Pegawai 1363;70;31/12/2021
;Pegawai 1364;74;31/12/2021
;Pegawai 1365;74;31/12/2021
;Pegawai 1366;71;31/12/2021
;Pegawai 1367;89;31/12/2021
;Pegawai 1368;77;31/12/2021
;Pegawai 1369;85;31/12/2021
;Pegawai 1370;72;31/12/2021
;Pegawai 1371;75;31/12/2021
;Pegawai 1372;96;31/12/2021
;Pegawai 1373;76;31/12/2021
;Pegawai 1374;84;31/12/2021
;Pegawai 1375;75;31/12/2021
;Pegawai 1376;75;31/12/2021
;Pegawai 1377;92;31/12/2021
;Pegawai 1378;78;31/12/2021
;Pegawai 1379;75;31/12/2021
;Pegawai 1380;99;31/12/2021
;Pegawai 1381;75;31/12/2021
;Pegawai 1382;88;31/12/2021
;Pegawai 1383;74;31/12/2021
;Pegawai 1384;78;31/12/2021
;Pegawai 1385;79;31/12/2021
;Pegawai 1386;99;31/12/2021
;Pegawai 1387;83;31/12/2021
;Pegawai 1388;97;31/12/2021
;Pegawai 1389;76;31/12/2021
;Pegawai 1390;70;31/12/2021
;Pegawai 1391;92;31/12/2021
;Pegawai 1392;73;31/12/2021
;Pegawai 1393;96;31/12/2021
;Pegawai 1394;99;31/12/2021
;Pegawai 1395;76;31/12/2021
;Pegawai 1396;76;31/12/2021
;Pegawai 1397;72;31/12/2021
;Pegawai 1398;94;31/12/2021
;Pegawai 1399;76;31/12/2021
;Pegawai 1400;84;31/12/2021
;Pegawai 1401;83;31/12/2021
;Pegawai 1402;72;31/12/2021
;Pegawai 1403;96;31/12/2021
;Pegawai 1404;81;31/12/2021
;Pegawai 1405;91;31/12/2021
;Pegawai 1406;98;31/12/2021
;Pegawai 1407;94;31/12/2021
;Pegawai 1408;96;31/12/2021
;Pegawai 1409;84;31/12/2021
;Pegawai 1410;83;31/12/2021
;Pegawai 1411;90;31/12/2021
;Pegawai 1412;81;31/12/2021
;Pegawai 1413;78;31/12/2021
;Pegawai 1414;76;31/12/2021
;Pegawai 1415;74;31/12/2021
;Pegawai 1416;79;31/12/2021
;Pegawai 1417;86;31/12/2021
;Pegawai 1418;85;31/12/2021
;Pegawai 1419;99;31/12/2021
;Pegawai 1420;71;31/12/2021
;Pegawai 1421;89;31/12/2021
;Pegawai 1422;80;31/12/2021
;Pegawai 1423;74;31/12/2021
;Pegawai 1424;97;31/12/2021
;Pegawai 1425;82;31/12/2021
;Pegawai 1426;98;31/12/2021
;Pegawai 1427;89;31/12/2021
;Pegawai 1428;92;31/12/2021
;Pegawai 1429;72;31/12/2021
;Pegawai 1430;73;31/12/2021
;Pegawai 1431;88;31/12/2021
;Pegawai 1432;83;31/12/2021
;Pegawai 1433;90;31/12/2021
;Pegawai 1434;77;31/12/2021
;Pegawai 1435;80;31/12/2021
;Pegawai 1436;92;31/12/2021
;Pegawai 1437;76;31/12/2021
;Pegawai 1438;78;31/12/2021
;Pegawai 1439;75;31/12/2021
;Pegawai 1440;98;31/12/2021
;Pegawai 1441;99;31/12/2021
;Pegawai 1442;81;31/12/2021
;Pegawai 1443;74;31/12/2021
;Pegawai 1444;72;31/12/2021
;Pegawai 1445;71;31/12/2021
;Pegawai 1446;90;31/12/2021
;Pegawai 1447;83;31/12/2021
;Pegawai 1448;89;31/12/2021
;Pegawai 1449;98;31/12/2021
;Pegawai 1450;81;31/12/2021
;Pegawai 1451;88;31/12/2021
;Pegawai 1452;87;31/12/2021
;Pegawai 1453;90;31/12/2021
;Pegawai 1454;95;31/12/2021
;Pegawai 1455;92;31/12/2021
;Pegawai 1456;76;31/12/2021
;Pegawai 1457;72;31/12/2021
;Pegawai 1458;95;31/12/2021
;Pegawai 1459;72;31/12/2021
;Pegawai 1460;96;31/12/2021
;Pegawai 1461;86;31/12/2021
;Pegawai 1462;79;31/12/2021
;Pegawai 1463;77;31/12/2021
;Pegawai 1464;84;31/12/2021
;Pegawai 1465;83;31/12/2021
;Pegawai 1466;75;31/12/2021
;Pegawai 1467;89;31/12/2021
;Pegawai 1468;71;31/12/2021
;Pegawai 1469;79;31/12/2021
;Pegawai 1470;84;31/12/2021
;Pegawai 1471;85;31/12/2021
;Pegawai 1472;73;31/12/2021
;Pegawai 1473;84;31/12/2021
;Pegawai 1474;82;31/12/2021
;Pegawai 1475;76;31/12/2021
;Pegawai 1476;97;31/12/2021
;Pegawai 1477;77;31/12/2021
;Pegawai 1478;82;31/12/2021
;Pegawai 1479;78;31/12/2021
;Pegawai 1480;87;31/12/2021
;Pegawai 1481;87;31/12/2021
;Pegawai 1482;81;31/12/2021
;Pegawai 1483;92;31/12/2021
;Pegawai 1484;85;31/12/2021
;Pegawai 1485;81;31/12/2021
;Pegawai 1486;99;31/12/2021
;Pegawai 1487;96;31/12/2021
;Pegawai 1488;85;31/12/2021
;Pegawai 1489;71;31/12/2021
;Pegawai 1490;83;31/12/2021
;Pegawai 1491;86;31/12/2021
;Pegawai 1492;82;31/12/2021
;Pegawai 1493;82;31/12/2021
;Pegawai 1494;84;31/12/2021
;Pegawai 1495;83;31/12/2021
;Pegawai 1496;89;31/12/2021
;Pegawai 1497;74;31/12/2021
;Pegawai 1498;79;31/12/2021
;Pegawai 1499;97;31/12/2021
;Pegawai 1500;73;31/12/2021
;Pegawai 1501;91;31/12/2021
;Pegawai 1502;91;31/12/2021
;Pegawai 1503;92;31/12/2021
;Pegawai 1504;87;31/12/2021
;Pegawai 1505;80;31/12/2021
;Pegawai 1506;88;31/12/2021
;Pegawai 1507;77;31/12/2021
;Pegawai 1508;82;31/12/2021
;Pegawai 1509;85;31/12/2021
;Pegawai 1510;73;31/12/2021
;Pegawai 1511;75;31/12/2021
;Pegawai 1512;98;31/12/2021
;Pegawai 1513;86;31/12/2021
;Pegawai 1514;80;31/12/2021
;Pegawai 1515;95;31/12/2021
;Pegawai 1516;91;31/12/2021
;Pegawai 1517;98;31/12/2021
;Pegawai 1518;73;31/12/2021
;Pegawai 1519;89;31/12/2021
;Pegawai 1520;76;31/12/2021
