pegawai_sertifikasi_id;pegawai_nama;sertifikasi_nama;pegawai_serti;Sertifikasi_akhir
;Pegawai 1632;Sertifikasi Change Management;23/02/2018;31/12/2029
;Pegawai 884;Qualified Internal Auditor;07/01/2018;31/12/2029
;Pegawai 773;Certified Procurement Specialist;07/04/2020;31/12/2029
;Pegawai 1607;Certified Ethical Hacker;27/04/2019;31/12/2029
;Pegawai 1859;Certified Government Chief Audit Executive;02/07/2019;31/12/2029
;Pegawai 848;Certified Manpower Planner;09/04/2022;31/12/2029
;Pegawai 1281;Cellebrite Certified Physical Analyst;16/11/2021;31/12/2029
;Pegawai 61;Certificate in International Auditing;21/01/2020;31/12/2029
;Pegawai 1173;Insinyur;06/11/2018;31/12/2029
;Pegawai 429;Certified Contract Management Specialist;18/12/2020;31/12/2029
;Pegawai 936;Certified Government Chief Audit Executive;01/07/2019;31/12/2029
;Pegawai 853;Certified Grafologie Analyst;28/09/2019;31/12/2029
;Pegawai 1411;Corporate Forensic Auditor;17/08/2022;31/12/2029
;Pegawai 1807;Cisco Certified Network Associate;02/06/2020;31/12/2029
;Pegawai 1115;Ahli Akuntansi Pemerintahan A;09/10/2022;31/12/2029
;Pegawai 1776;Loop Certified Corporate Coach;05/01/2018;31/12/2029
;Pegawai 1760;Certified Management Accountants;01/05/2020;31/12/2029
;Pegawai 490;Loop Certified Corporate Coach;03/08/2018;31/12/2029
;Pegawai 264;Certified Internal Control Auditor;24/08/2022;31/12/2029
;Pegawai 156;Corporate Forensic Auditor;26/06/2020;31/12/2029
;Pegawai 1250;Cellebrite Certified Physical Analyst;19/02/2020;31/12/2029
;Pegawai 1487;Certificate in International Public Sector Accounting Standards;05/12/2020;31/12/2029
;Pegawai 1722;Governance Risk Management and Compliance Professional;13/01/2019;31/12/2029
;Pegawai 625;Certified Sustainability Reporting Specialist;11/07/2019;31/12/2029
;Pegawai 1417;Qualified Risk Management Professional;08/04/2019;31/12/2029
;Pegawai 840;Certified Sustainability Practitioner;07/11/2022;31/12/2029
;Pegawai 1402;Certificate in Data Analytics;09/07/2022;31/12/2029
;Pegawai 594;Certified Risk Management Professional;27/10/2021;31/12/2029
;Pegawai 616;Chartered Accountant;09/01/2018;31/12/2029
;Pegawai 311;Certificate in International Auditing;17/08/2021;31/12/2029
;Pegawai 1171;Insinyur;27/12/2021;31/12/2029
;Pegawai 844;Certification in Risk Management Assurance;14/10/2021;31/12/2029
;Pegawai 777;Certified Fraud Examiner;13/07/2019;31/12/2029
;Pegawai 896;Certified Human Resources Professional;16/11/2020;31/12/2029
;Pegawai 1241;Certified Human Resources Analyst;20/07/2022;31/12/2029
;Pegawai 1455;Cellebrite Certified Physical Analyst;06/09/2020;31/12/2029
;Pegawai 1717;Enterprise Risk Management Certified Professional;17/07/2022;31/12/2029
;Pegawai 1380;Sertifikasi Change Management;26/01/2018;31/12/2029
;Pegawai 1301;Certified Professional Management Accountant;04/03/2022;31/12/2029
;Pegawai 274;Certified Legal Auditor;29/03/2021;31/12/2029
;Pegawai 121;Certified Procurement Specialist;22/11/2022;31/12/2029
;Pegawai 1092;Enterprise Risk Management Certified Professional;11/01/2019;31/12/2029
;Pegawai 1716;Cellebrite Certified Physical Analyst;15/01/2022;31/12/2029
;Pegawai 687;Certified Procurement Specialist;05/12/2018;31/12/2029
;Pegawai 166;Certified IPSAS Specialist;09/06/2020;31/12/2029
;Pegawai 1782;Certified Forensic Auditor;16/07/2019;31/12/2029
;Pegawai 556;Certified Human Resources Professional;09/08/2018;31/12/2029
;Pegawai 958;Certified Contract Management Specialist;25/07/2020;31/12/2029
;Pegawai 1522;Certified Sustainability Reporting Specialist;04/06/2021;31/12/2029
;Pegawai 197;Cisco Certified Network Associate;21/04/2019;31/12/2029
;Pegawai 80;Asean Engineeer;01/05/2019;31/12/2029
;Pegawai 1988;Certified Professional Management Accountant;18/05/2019;31/12/2029
;Pegawai 1578;Certified Secure Computer User;21/04/2022;31/12/2029
;Pegawai 1566;Certified Human Resources Management Professional (CHRMP);10/02/2019;31/12/2029
;Pegawai 784;Ahli Akuntansi Pemerintahan A;10/09/2021;31/12/2029
;Pegawai 61;Certificate in International Auditing;07/12/2021;31/12/2029
;Pegawai 625;Certified Professional Talent Management;10/09/2022;31/12/2029
;Pegawai 894;Certified Fraud Examiner;28/06/2020;31/12/2029
;Pegawai 1596;Certified IPSAS Specialist;31/10/2022;31/12/2029
;Pegawai 1361;Certification in Control Self-Assessment;02/04/2020;31/12/2029
;Pegawai 775;Cyber Security Foundation Professional;17/02/2021;31/12/2029
;Pegawai 1251;Sertifikasi Change Management;20/04/2021;31/12/2029
;Pegawai 1851;Certified State Finance Auditor;04/04/2022;31/12/2029
;Pegawai 366;Cellebrite Certified Physical Analyst;12/09/2018;31/12/2029
;Pegawai 1211;Governance Risk Management and Compliance Professional;29/12/2019;31/12/2029
;Pegawai 556;Certified Internal Auditor;28/09/2019;31/12/2029
;Pegawai 1822;Certified Human Resources Professional;12/04/2019;31/12/2029
;Pegawai 709;Enterprise Risk Management Associate Professional;15/10/2018;31/12/2029
;Pegawai 409;Certified Information System Auditors;30/06/2022;31/12/2029
;Pegawai 898;Akuntan;10/06/2021;31/12/2029
;Pegawai 1310;Certified Internal Audit Officer;23/02/2020;31/12/2029
;Pegawai 1319;Akuntan;16/08/2019;31/12/2029
;Pegawai 558;Cisco Certified Network Associate;27/01/2022;31/12/2029
;Pegawai 1312;Certified Professional Management Accountant;07/12/2021;31/12/2029
;Pegawai 1044;Certified Government Auditing Professional;28/02/2022;31/12/2029
;Pegawai 283;Certified Risk Management Professional;02/05/2019;31/12/2029
;Pegawai 1850;Certified Government Chief Audit Executive;29/03/2020;31/12/2029
;Pegawai 1590;Certification in Risk Management Assurance;23/12/2019;31/12/2029
;Pegawai 1923;Certified Management Accountants;25/11/2022;31/12/2029
;Pegawai 1027;Certified Grafologie Analyst;03/05/2022;31/12/2029
;Pegawai 907;Certified Manpower Planner;30/10/2020;31/12/2029
;Pegawai 887;Certified Risk Professional;21/04/2022;31/12/2029
;Pegawai 911;Certified Risk Professional;22/12/2022;31/12/2029
;Pegawai 1937;Certified Government Chief Audit Executive;24/06/2021;31/12/2029
;Pegawai 162;Certified Secure Computer User;03/03/2022;31/12/2029
;Pegawai 440;Certified Professional Management Accountant;06/06/2022;31/12/2029
;Pegawai 1497;Cisco Certified Network Associate;06/08/2021;31/12/2029
;Pegawai 791;Certificate in International Auditing;04/09/2018;31/12/2029
;Pegawai 1618;Governance  Risk Management and Compliance Audit;17/04/2019;31/12/2029
;Pegawai 1757;Certified Pernyataan Standar Akuntansi Keuangan;27/06/2021;31/12/2029
;Pegawai 129;Certified Manpower Planner;04/08/2018;31/12/2029
;Pegawai 1834;Certified Human Resources Specialist;26/10/2019;31/12/2029
;Pegawai 384;Corporate Forensic Auditor;08/11/2019;31/12/2029
;Pegawai 99;Certified IPSAS Specialist;28/07/2019;31/12/2029
;Pegawai 1337;Associate Certified Public Accountant;16/11/2019;31/12/2029
;Pegawai 626;Certified Information System Auditors;02/05/2019;31/12/2029
;Pegawai 631;Corporate Forensic Auditor;18/03/2019;31/12/2029
;Pegawai 1285;Insinyur;14/11/2019;31/12/2029
;Pegawai 836;Certified Risk Management Professional;14/01/2021;31/12/2029
;Pegawai 176;Cerified Sustainability Reporting Assurer;08/05/2018;31/12/2029
;Pegawai 104;Certified State Finance Auditor;10/07/2021;31/12/2029
;Pegawai 161;Qualified Risk Management Officer;17/12/2019;31/12/2029
;Pegawai 861;Cerified Sustainability Reporting Assurer;12/06/2019;31/12/2029
;Pegawai 370;Cellebrite Certified Physical Analyst;17/02/2021;31/12/2029
;Pegawai 793;Certificate in International Auditing;23/02/2019;31/12/2029
;Pegawai 980;Certified Human Resources Specialist;22/02/2022;31/12/2029
;Pegawai 1647;Certified Data Centre Professional;09/10/2020;31/12/2029
;Pegawai 1924;Cyber Security Foundation Professional;20/10/2021;31/12/2029
;Pegawai 410;Ahli Akuntansi Pemerintahan B;25/10/2022;31/12/2029
;Pegawai 1354;Ahli Akuntansi Pemerintahan;29/07/2022;31/12/2029
;Pegawai 1414;Certified Human Resources Management Professional;11/01/2021;31/12/2029
;Pegawai 1450;Certified Data Centre Professional;28/02/2019;31/12/2029
;Pegawai 405;Certified Hacking Forensic Investigator;06/06/2019;31/12/2029
;Pegawai 983;Certified Hacking Forensic Investigator;28/09/2022;31/12/2029
;Pegawai 282;Insinyur;26/07/2019;31/12/2029
;Pegawai 1168;ASEAN Chartered Professional Accountant;14/07/2022;31/12/2029
;Pegawai 886;Certified Ethical Hacker;06/12/2021;31/12/2029
;Pegawai 585;Certified Human Resources Professional;12/08/2021;31/12/2029
;Pegawai 1922;Enterprise Risk Management Associate Professional;25/06/2021;31/12/2029
;Pegawai 843;Certified Internal Audit Officer;08/07/2019;31/12/2029
;Pegawai 1592;Certified Sustainability Practitioner;17/05/2018;31/12/2029
;Pegawai 1303;Akuntan;08/02/2022;31/12/2029
;Pegawai 1375;Certified Sustainability Reporting Specialist;27/12/2018;31/12/2029
;Pegawai 840;Certified Manpower Planner;09/12/2019;31/12/2029
;Pegawai 238;Certified Financial Planner;03/05/2021;31/12/2029
;Pegawai 982;Governance Risk Management and Compliance Professional;11/11/2020;31/12/2029
;Pegawai 1073;Certified Procurement Specialist;14/03/2018;31/12/2029
;Pegawai 1111;Certified Government Chief Audit Executive;23/07/2018;31/12/2029
;Pegawai 1618;Certificate in International Public Sector Accounting Standards;11/05/2018;31/12/2029
;Pegawai 1640;Certified Procurement Specialist;03/07/2020;31/12/2029
;Pegawai 1565;Certified Procurement Specialist;07/03/2019;31/12/2029
;Pegawai 1444;Governance Risk Management and Compliance Professional;01/05/2018;31/12/2029
;Pegawai 386;Certified RIsk Associate;19/09/2018;31/12/2029
;Pegawai 148;Certified State Finance Auditor;22/05/2021;31/12/2029
;Pegawai 1496;AccessData Certified Examiner;25/04/2020;31/12/2029
;Pegawai 1085;Governance  Risk Management and Compliance Audit;07/11/2022;31/12/2029
;Pegawai 315;Certified Forensic Auditor;16/05/2021;31/12/2029
;Pegawai 52;Corporate Forensic Auditor;26/02/2021;31/12/2029
;Pegawai 625;Certified Ethical Hacker;03/09/2020;31/12/2029
;Pegawai 96;Certified Professional Management Accountant;04/05/2019;31/12/2029
;Pegawai 325;Enterprise Risk Management Associate Professional;24/04/2019;31/12/2029
;Pegawai 938;Cyber Security Foundation Professional;09/07/2020;31/12/2029
;Pegawai 890;Advanced Diploma in Forensic Accounting - Level 5;10/06/2022;31/12/2029
;Pegawai 84;Enterprise Risk Management Certified Professional;16/06/2020;31/12/2029
;Pegawai 1297;Cellebrite Certified Operator;23/03/2021;31/12/2029
;Pegawai 1511;Qualified Government Internal Auditor;29/05/2020;31/12/2029
;Pegawai 286;Certified Human Resources Specialist;17/09/2020;31/12/2029
;Pegawai 1978;Certified Risk Management Professional;03/01/2018;31/12/2029
;Pegawai 1574;Certified Internal Control Auditor;09/09/2018;31/12/2029
;Pegawai 119;Certified Forensic Auditor;04/02/2018;31/12/2029
;Pegawai 1338;Certified Grafologie Analyst;21/09/2020;31/12/2029
;Pegawai 1996;Certified Government Auditing Professional;30/08/2019;31/12/2029
;Pegawai 921;Certified Sustainability Reporting Specialist;30/12/2022;31/12/2029
;Pegawai 1255;Certified Pernyataan Standar Akuntansi Keuangan;18/06/2018;31/12/2029
;Pegawai 137;Insinyur;22/09/2019;31/12/2029
;Pegawai 1118;Certified Corporate Coach;28/01/2022;31/12/2029
;Pegawai 1974;Certified Government Auditing Professional;26/05/2020;31/12/2029
;Pegawai 1690;Chartered Accountant;22/10/2019;31/12/2029
;Pegawai 199;Certificate in International Auditing;15/04/2019;31/12/2029
;Pegawai 1071;Certified Human Resources Management Professional;15/01/2018;31/12/2029
;Pegawai 135;Ahli Akuntansi Pemerintahan A;21/05/2022;31/12/2029
;Pegawai 1181;Certified IPSAS Specialist;05/05/2022;31/12/2029
;Pegawai 1564;Certificate in International Auditing;02/06/2019;31/12/2029
;Pegawai 1572;Certified Risk Management Officer;18/08/2022;31/12/2029
;Pegawai 1625;Certified Human Resources Analyst;07/09/2021;31/12/2029
;Pegawai 807;Certified Accounting Technician;16/10/2022;31/12/2029
;Pegawai 19;Certified Human Resources Analyst;28/09/2022;31/12/2029
;Pegawai 984;Certified Professional Coach;21/12/2021;31/12/2029
;Pegawai 182;Certified Forensic Auditor;30/03/2018;31/12/2029
;Pegawai 248;Teknisi Akuntansi;05/10/2021;31/12/2029
;Pegawai 1694;EnCase Certified Examiner;18/01/2020;31/12/2029
;Pegawai 1132;Cisco Certified Network Associate;11/02/2019;31/12/2029
;Pegawai 1115;Certificate in International Public Sector Accounting Standards;11/03/2020;31/12/2029
;Pegawai 500;Chartered Accountant;11/04/2022;31/12/2029
;Pegawai 817;Certified Professional Management Accountant;18/01/2018;31/12/2029
;Pegawai 765;Cellebrite Certified Officer;29/10/2019;31/12/2029
;Pegawai 704;Certified Ethical Hacker;03/11/2021;31/12/2029
;Pegawai 244;Certified Ethical Hacker;02/12/2021;31/12/2029
;Pegawai 233;Chartered Accountant;02/05/2021;31/12/2029
;Pegawai 257;Certified Government Chief Audit Executive;30/11/2022;31/12/2029
;Pegawai 960;Qualified Government Internal Auditor;01/11/2022;31/12/2029
;Pegawai 1662;Qualified Risk Management Officer;28/09/2020;31/12/2029
;Pegawai 674;Certified Internal Audit Officer;11/10/2018;31/12/2029
;Pegawai 1034;Certified Government Accounting Associate;24/06/2018;31/12/2029
;Pegawai 142;Oxygen Forensic Certified;15/10/2020;31/12/2029
;Pegawai 724;Certified Risk Management Officer;26/02/2022;31/12/2029
;Pegawai 372;Certified Risk Professional;06/02/2018;31/12/2029
;Pegawai 1611;Certified Legal Auditor;10/02/2018;31/12/2029
;Pegawai 1307;Certified Professional Management Accountant;15/05/2018;31/12/2029
;Pegawai 414;Insinyur;02/07/2018;31/12/2029
;Pegawai 388;Cellebrite Certified Officer;25/09/2022;31/12/2029
;Pegawai 961;Associate Certified Public Accountant;07/09/2019;31/12/2029
;Pegawai 258;Loop Certified Corporate Coach;22/01/2022;31/12/2029
;Pegawai 1444;Certified Government Chief Audit Executive;25/01/2020;31/12/2029
;Pegawai 1392;Governance Risk Management and Compliance Professional;02/08/2022;31/12/2029
;Pegawai 1043;Certified Internal Audit Officer;18/04/2022;31/12/2029
;Pegawai 1667;Certified Hacking Forensic Investigator;30/05/2022;31/12/2029
;Pegawai 1471;Insinyur;05/12/2021;31/12/2029
;Pegawai 423;Certified Legal Auditor;23/01/2020;31/12/2029
;Pegawai 1835;Certified Pernyataan Standar Akuntansi Keuangan;01/12/2022;31/12/2029
;Pegawai 1510;Cerified Sustainability Reporting Assurer;02/01/2018;31/12/2029
;Pegawai 278;Certificate in International Auditing;22/10/2019;31/12/2029
;Pegawai 1635;Certified Sustainability Practitioner;26/06/2018;31/12/2029
;Pegawai 549;Ahli Akuntansi Pemerintahan B;15/09/2018;31/12/2029
;Pegawai 1774;Ahli Akuntansi Pemerintahan;20/03/2018;31/12/2029
;Pegawai 853;Certified Risk Professional;09/05/2021;31/12/2029
;Pegawai 1531;Certificate in Data Analytics;26/12/2022;31/12/2029
;Pegawai 761;Certification in Control Self-Assessment;08/10/2018;31/12/2029
;Pegawai 1396;Certified Contract Management Specialist;26/01/2021;31/12/2029
;Pegawai 576;Insinyur;10/07/2020;31/12/2029
;Pegawai 1286;Insinyur;06/06/2020;31/12/2029
;Pegawai 878;Certified Government Chief Audit Executive;26/03/2021;31/12/2029
;Pegawai 111;Ahli Akuntansi Pemerintahan;12/03/2022;31/12/2029
;Pegawai 315;Certification in Control Self-Assessment;13/12/2022;31/12/2029
;Pegawai 1121;Governance  Risk Management and Compliance Audit;01/03/2019;31/12/2029
;Pegawai 729;Advanced Diploma in Forensic Accounting - Level 5;25/11/2021;31/12/2029
;Pegawai 1450;Cisco Certified Network Associate;28/03/2022;31/12/2029
;Pegawai 362;Ahli Akuntansi Pemerintahan A;25/04/2020;31/12/2029
;Pegawai 1732;Certified Professional Management Accountant;25/10/2020;31/12/2029
;Pegawai 196;Certified State Finance Auditor;03/10/2019;31/12/2029
;Pegawai 1593;Certified Internal Control Auditor;20/11/2022;31/12/2029
;Pegawai 706;Certified Public Accountant;23/12/2019;31/12/2029
;Pegawai 736;Certified Grafologie Analyst;30/10/2021;31/12/2029
;Pegawai 1078;Akuntan;06/06/2022;31/12/2029
;Pegawai 1922;Qualified Government Internal Auditor;25/11/2022;31/12/2029
;Pegawai 1476;Certification in Risk Management Assurance;10/08/2018;31/12/2029
;Pegawai 979;Asean Engineeer;12/04/2018;31/12/2029
;Pegawai 248;Chartered Accountant;01/05/2020;31/12/2029
;Pegawai 897;Certified Government Auditing Professional;10/08/2020;31/12/2029
;Pegawai 223;Certified State Finance Auditor;21/02/2021;31/12/2029
;Pegawai 1243;Governance Risk Management and Compliance Professional;29/04/2019;31/12/2029
;Pegawai 416;Certification in Control Self-Assessment;18/10/2018;31/12/2029
;Pegawai 1174;Sertifikasi Change Management;23/11/2022;31/12/2029
;Pegawai 1910;Certified Hacking Forensic Investigator;11/11/2018;31/12/2029
;Pegawai 1274;Certified Financial Planner;18/01/2018;31/12/2029
;Pegawai 343;Certification in Risk Management Assurance;01/12/2021;31/12/2029
;Pegawai 412;Certified Contract Management Specialist;13/07/2019;31/12/2029
;Pegawai 987;Certified IPSAS Specialist;28/02/2021;31/12/2029
;Pegawai 894;Enterprise Risk Management Certified Professional;12/11/2021;31/12/2029
;Pegawai 1512;Certificate in Data Analytics;17/06/2020;31/12/2029
;Pegawai 1336;Certified Professional Coach;18/08/2022;31/12/2029
;Pegawai 1964;Enterprise Risk Management Certified Professional;02/09/2022;31/12/2029
;Pegawai 1528;Cellebrite Certified Physical Analyst;16/05/2020;31/12/2029
;Pegawai 565;Certified Ethical Hacker;24/12/2019;31/12/2029
;Pegawai 320;Cerified Sustainability Reporting Assurer;09/12/2018;31/12/2029
;Pegawai 1141;Certified Risk Management Officer;12/07/2022;31/12/2029
;Pegawai 946;Associate Certified Public Accountant;17/10/2020;31/12/2029
;Pegawai 383;Certified Forensic Auditor;10/11/2018;31/12/2029
;Pegawai 1907;Certified Public Accountant;29/01/2020;31/12/2029
;Pegawai 1514;Certified Procurement Specialist;18/02/2019;31/12/2029
;Pegawai 622;Certification in Control Self-Assessment;24/05/2019;31/12/2029
;Pegawai 1702;Qualified Risk Management Officer;24/03/2021;31/12/2029
;Pegawai 1477;Chartered Accountant;29/04/2020;31/12/2029
;Pegawai 563;Certified Fraud Examiner;01/04/2021;31/12/2029
;Pegawai 846;Loop Certified Corporate Coach;16/10/2022;31/12/2029
;Pegawai 1112;Certified Human Resources Management Professional;12/04/2019;31/12/2029
;Pegawai 1128;Enterprise Risk Management Certified Professional;31/10/2022;31/12/2029
;Pegawai 371;Cellebrite Certified Physical Analyst;07/07/2020;31/12/2029
;Pegawai 1117;Certified Sustainability Reporting Specialist;15/02/2022;31/12/2029
;Pegawai 1154;Certified Management Accountants;16/06/2021;31/12/2029
;Pegawai 1976;Certified Risk Management Professional;06/08/2020;31/12/2029
;Pegawai 202;Certified Human Resources Management Professional;10/08/2021;31/12/2029
;Pegawai 831;Certification in Control Self-Assessment;16/04/2021;31/12/2029
;Pegawai 717;Certified Internal Auditor;18/06/2020;31/12/2029
;Pegawai 144;Ahli Akuntansi Pemerintahan;20/05/2020;31/12/2029
;Pegawai 984;Certified Accounting Technician;04/06/2022;31/12/2029
;Pegawai 1477;Cisco Certified Network Associate;14/12/2018;31/12/2029
;Pegawai 1136;Akuntan;05/07/2018;31/12/2029
;Pegawai 61;Certified Human Resources Management Professional;30/04/2022;31/12/2029
;Pegawai 1303;Certified Internal Auditor;15/10/2019;31/12/2029
;Pegawai 66;Certified Government Accounting Associate;05/08/2019;31/12/2029
;Pegawai 905;Certified Forensic Auditor;13/06/2019;31/12/2029
;Pegawai 1747;Governance  Risk Management and Compliance Audit;21/02/2022;31/12/2029
;Pegawai 962;Certified Risk Professional;07/04/2019;31/12/2029
;Pegawai 168;Enterprise Risk Management Associate Professional;25/11/2018;31/12/2029
;Pegawai 1179;Certified Secure Computer User;26/07/2021;31/12/2029
;Pegawai 1289;Certified Human Resources Professional;09/09/2021;31/12/2029
;Pegawai 1510;Certified Contract Management Specialist;29/06/2019;31/12/2029
;Pegawai 1994;Akuntan;16/04/2022;31/12/2029
;Pegawai 495;Qualified Risk Management Officer;09/03/2019;31/12/2029
;Pegawai 414;Ahli Akuntansi Pemerintahan;28/03/2018;31/12/2029
;Pegawai 343;Certified State Finance Auditor;28/07/2021;31/12/2029
;Pegawai 78;Certified Sustainability Practitioner;21/04/2019;31/12/2029
;Pegawai 9;Certified Fraud Examiner;13/10/2019;31/12/2029
;Pegawai 1985;Certified Public Accountant;24/02/2021;31/12/2029
;Pegawai 1482;Qualified Risk Management Professional;15/07/2022;31/12/2029
;Pegawai 1824;EnCase Certified Examiner;18/03/2022;31/12/2029
;Pegawai 112;Certified Government Auditing Professional;14/01/2019;31/12/2029
;Pegawai 1880;AccessData Certified Examiner;30/04/2021;31/12/2029
;Pegawai 28;Cellebrite Certified Operator;27/11/2018;31/12/2029
;Pegawai 37;Certification in Risk Management Assurance;24/07/2022;31/12/2029
;Pegawai 0;Cisco Certified Network Associate;27/06/2018;31/12/2029
;Pegawai 758;Certified Sustainability Practitioner;02/04/2022;31/12/2029
;Pegawai 1589;Certified Human Resources Professional;16/09/2019;31/12/2029
;Pegawai 1779;Cellebrite Certified Physical Analyst;28/05/2019;31/12/2029
;Pegawai 1490;Cerified Sustainability Reporting Assurer;07/11/2019;31/12/2029
;Pegawai 1781;Certified Internal Control Auditor;03/01/2018;31/12/2029
;Pegawai 733;Chartered Accountant;21/03/2019;31/12/2029
;Pegawai 1546;Ahli Akuntansi Pemerintahan B;17/11/2022;31/12/2029
;Pegawai 806;Certified Accounting Technician;09/08/2021;31/12/2029
;Pegawai 647;Certified Data Centre Professional;10/11/2021;31/12/2029
;Pegawai 1940;Certified RIsk Associate;02/06/2020;31/12/2029
;Pegawai 495;Certified State Finance Auditor;11/05/2022;31/12/2029
;Pegawai 775;Cellebrite Certified Operator;31/07/2018;31/12/2029
;Pegawai 1211;Certificate in Data Analytics;04/02/2022;31/12/2029
;Pegawai 604;Certification in Risk Management Assurance;01/03/2021;31/12/2029
;Pegawai 249;Certified Manpower Planner;10/06/2019;31/12/2029
;Pegawai 1166;Certified Government Chief Audit Executive;20/10/2018;31/12/2029
;Pegawai 263;Certified Government Accounting Associate;09/11/2018;31/12/2029
;Pegawai 1546;Certified Professional Talent Management;07/08/2022;31/12/2029
;Pegawai 318;AccessData Certified Examiner;01/08/2021;31/12/2029
;Pegawai 240;Certificate in International Public Sector Accounting Standards;12/07/2019;31/12/2029
;Pegawai 1391;Governance Risk Management and Compliance Professional;04/03/2020;31/12/2029
;Pegawai 641;Certified Ethical Hacker;05/06/2019;31/12/2029
;Pegawai 501;Certified Hacking Forensic Investigator;03/12/2018;31/12/2029
;Pegawai 571;Certificate in International Public Sector Accounting Standards;02/11/2021;31/12/2029
;Pegawai 948;Governance  Risk Management and Compliance Audit;03/05/2018;31/12/2029
;Pegawai 1404;Governance  Risk Management and Compliance Audit;31/10/2021;31/12/2029
;Pegawai 628;Certified Government Auditing Professional;20/02/2020;31/12/2029
;Pegawai 829;Associate Certified Public Accountant;22/03/2020;31/12/2029
;Pegawai 1732;Certified Secure Computer User;25/09/2020;31/12/2029
;Pegawai 1838;Certified Legal Auditor;11/06/2018;31/12/2029
;Pegawai 767;Governance  Risk Management and Compliance Audit;21/05/2019;31/12/2029
;Pegawai 435;Certified Professional Management Accountant;04/05/2021;31/12/2029
;Pegawai 618;Certified Manpower Planner;24/06/2021;31/12/2029
;Pegawai 936;Governance Risk Management and Compliance Professional;07/07/2018;31/12/2029
;Pegawai 755;Certified Corporate Coach;07/10/2020;31/12/2029
;Pegawai 304;Certified Professional Talent Management;11/02/2020;31/12/2029
;Pegawai 539;Sertifikasi Change Management;01/06/2018;31/12/2029
;Pegawai 1431;Certified Professional Talent Management;16/11/2019;31/12/2029
;Pegawai 237;Certification in Control Self-Assessment;19/01/2018;31/12/2029
;Pegawai 805;Cisco Certified Network Associate;11/04/2022;31/12/2029
;Pegawai 1243;Akuntan;11/10/2018;31/12/2029
;Pegawai 367;Certificate in Data Analytics;26/02/2018;31/12/2029
;Pegawai 98;Certificate in Data Analytics;30/12/2021;31/12/2029
;Pegawai 770;Certified Government Accounting Associate;09/02/2020;31/12/2029
;Pegawai 148;Certified Risk Management Officer;28/10/2018;31/12/2029
;Pegawai 1188;Certified Human Resources Analyst;17/05/2020;31/12/2029
;Pegawai 399;Certified Contract Management Specialist;24/07/2022;31/12/2029
;Pegawai 430;Certified Pernyataan Standar Akuntansi Keuangan;23/12/2018;31/12/2029
;Pegawai 1355;Teknisi Akuntansi;29/07/2021;31/12/2029
;Pegawai 478;Certified Manpower Planner;28/11/2020;31/12/2029
;Pegawai 1677;Certified Corporate Coach;04/05/2021;31/12/2029
;Pegawai 1946;Enterprise Risk Management Certified Professional;20/10/2021;31/12/2029
;Pegawai 774;Ahli Akuntansi Pemerintahan B;21/02/2019;31/12/2029
;Pegawai 573;Certified Sustainability Reporting Specialist;23/04/2021;31/12/2029
;Pegawai 723;Certified Legal Auditor;28/02/2018;31/12/2029
;Pegawai 1276;Certified Corporate Coach;03/08/2019;31/12/2029
;Pegawai 185;Certified Hacking Forensic Investigator;17/01/2019;31/12/2029
;Pegawai 1151;Certified Data Centre Professional;14/05/2018;31/12/2029
;Pegawai 1296;Certified Procurement Specialist;16/02/2018;31/12/2029
;Pegawai 1270;Certified Human Resources Specialist;24/10/2018;31/12/2029
;Pegawai 734;Enterprise Risk Management Certified Professional;13/10/2019;31/12/2029
;Pegawai 1257;ASEAN Chartered Professional Accountant;14/11/2019;31/12/2029
;Pegawai 1608;Certified Grafologie Analyst;04/11/2021;31/12/2029
;Pegawai 133;Certified State Finance Auditor;31/07/2019;31/12/2029
;Pegawai 1957;Certified Management Accountants;30/03/2022;31/12/2029
;Pegawai 624;Cisco Certified Network Associate;02/02/2018;31/12/2029
;Pegawai 284;Certified State Finance Auditor;01/03/2018;31/12/2029
;Pegawai 1460;Certified Procurement Specialist;20/10/2022;31/12/2029
;Pegawai 817;Sertifikasi Change Management;31/12/2018;31/12/2029
;Pegawai 4;Insinyur;21/10/2018;31/12/2029
;Pegawai 1031;Certified Professional Management Accountant;11/01/2021;31/12/2029
;Pegawai 1620;AccessData Certified Examiner;28/12/2020;31/12/2029
;Pegawai 1838;Certified Ethical Hacker;15/02/2019;31/12/2029
;Pegawai 1654;Ahli Akuntansi Pemerintahan;19/01/2018;31/12/2029
;Pegawai 621;Certified Sustainability Practitioner;16/11/2022;31/12/2029
;Pegawai 1960;Qualified Risk Management Professional;18/07/2019;31/12/2029
;Pegawai 1053;Cellebrite Certified Physical Analyst;08/12/2019;31/12/2029
;Pegawai 1211;ASEAN Chartered Professional Accountant;25/11/2019;31/12/2029
;Pegawai 665;Certified Government Auditing Professional;22/06/2022;31/12/2029
;Pegawai 949;ASEAN Chartered Professional Accountant;14/07/2021;31/12/2029
;Pegawai 217;Certified Professional Coach;12/05/2021;31/12/2029
;Pegawai 533;Certificate in International Auditing;04/02/2019;31/12/2029
;Pegawai 292;Certified Manpower Planner;01/09/2019;31/12/2029
;Pegawai 1542;Certified Hacking Forensic Investigator;17/04/2019;31/12/2029
;Pegawai 1561;Certified Risk Management Professional;22/05/2018;31/12/2029
;Pegawai 881;Certified RIsk Associate;15/10/2021;31/12/2029
;Pegawai 497;Certified IPSAS Specialist;17/12/2019;31/12/2029
